segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,0.004130994,0.010791666666666666,899.6157144800603,9.282524494296719e-06,-341.2258211539473,141.59367616671085,30.740819898554353,38.59959933366643,37.01299423658502,1.7405436217748236,3.6752247144089085,9.245440630656137,-0.42335986111087326,-0.44283672640607097,-0.6868925120330251,-5.028264578270726,-7.806453604146605,-10.9595680117903,-11.31904286550361,-13.604324371870042,-15.448511743106607,-9.218600077539115,-6.09597591505799,-6.624926339715947,1.111560905291583,-11.455461307887637,-12.912999233249009,2.846260274346791,0.16990257865729375,0.8111092323289524,5.324690174052412,-4.285455802786241,-2.0834803626161897,6.657754807726965,1.645538996783573,-0.5723661497712813,1.1998648772866192,0.8690688723865485,3.0522243594547995,1.5450995395916531,0.2577004447023198,3.622610608019413,2.3734702819385696,0.18851040712160727,-0.6729013783699953,1.7823953175271532,1.7466491224445304,-1.5845901421157382,-0.2456645659228902,-0.0719878291290651,-1.0608380456163446,1.1057775629423878,0.4074093228538589,-1.531939311398755,-0.15901930866059563,0.29638372804863705,-0.2598505221206181,-0.20778333545329714,-0.6130979956600142,-0.15738905823243726,0.22071233079385028,-0.5423267483160454,-0.5139917754382621,-0.14146097139070463
1,0.5,1.0,0.014077574,0.037333333333333336,1832.7530746594146,2.733761940216847e-06,-155.72305250277793,199.25570626525922,-71.56774983019275,47.723779283361615,49.194346378977734,-19.91745667955557,22.514721895660387,-1.9611776415573163,-25.10575551611916,1.1555639515025502,-13.247249159507852,-8.300054931016781,2.4237400368372444,-10.081109254228814,-3.0753768576659986,-13.323042470181484,-24.128427362409976,-10.562084148521194,-15.849354068031175,-13.895132620894838,1.111560905291583,-11.455461307887637,-12.912999233249009,2.846260274346791,0.16990257865729375,0.8111092323289524,5.324690174052412,-4.285455802786241,-2.0834803626161897,6.657754807726965,1.645538996783573,-0.5723661497712813,1.1998648772866192,0.8690688723865485,3.0522243594547995,1.5450995395916531,0.2577004447023198,3.622610608019413,2.3734702819385696,0.18851040712160727,-0.6729013783699953,1.7823953175271532,1.7466491224445304,-1.5845901421157382,-0.2456645659228902,-0.0719878291290651,-1.0608380456163446,1.1057775629423878,0.4074093228538589,-1.531939311398755,-0.15901930866059563,0.29638372804863705,-0.2598505221206181,-0.20778333545329714,-0.6130979956600142,-0.15738905823243726,0.22071233079385028,-0.5423267483160454,-0.5139917754382621,-0.14146097139070463
2,1.0,1.5,0.035636965,0.0435,1541.1875206356513,5.856545661358215e-07,-119.94240444216409,230.4530948422399,-82.12988133062822,12.94230917645945,27.216223279924087,-26.213589517170597,16.78124504845715,6.7268077292917,-13.480584663530408,-22.57251749462344,-39.452714010745,-0.7159040888896617,-1.8481085157728137,-34.53638621828411,-4.025132202709905,-6.29963209471769,-32.38948768274314,-13.311994493651568,-9.503253345192368,-10.170395187370872,1.111560905291583,-11.455461307887637,-12.912999233249009,2.846260274346791,0.16990257865729375,0.8111092323289524,5.324690174052412,-4.285455802786241,-2.0834803626161897,6.657754807726965,1.645538996783573,-0.5723661497712813,1.1998648772866192,0.8690688723865485,3.0522243594547995,1.5450995395916531,0.2577004447023198,3.622610608019413,2.3734702819385696,0.18851040712160727,-0.6729013783699953,1.7823953175271532,1.7466491224445304,-1.5845901421157382,-0.2456645659228902,-0.0719878291290651,-1.0608380456163446,1.1057775629423878,0.4074093228538589,-1.531939311398755,-0.15901930866059563,0.29638372804863705,-0.2598505221206181,-0.20778333545329714,-0.6130979956600142,-0.15738905823243726,0.22071233079385028,-0.5423267483160454,-0.5139917754382621,-0.14146097139070463
3,1.5,2.0,0.0050440105,0.0465,3625.8991912884594,2.2107152871606206e-05,-212.2078134874686,136.74138782323007,-69.4116221303288,74.9841478371655,43.48253428082781,-0.03485662142495971,40.35139406500146,-33.98578484607192,-19.75488672769879,40.025582814220684,-1.8365260184643828,-0.19702426941889425,0.8252133330484515,-12.518389614051568,24.568081216140165,2.9422583677917657,-19.968261772028665,15.616000307575018,4.991239764174342,-10.027675121841131,1.111560905291583,-11.455461307887637,-12.912999233249009,2.846260274346791,0.16990257865729375,0.8111092323289524,5.324690174052412,-4.285455802786241,-2.0834803626161897,6.657754807726965,1.645538996783573,-0.5723661497712813,1.1998648772866192,0.8690688723865485,3.0522243594547995,1.5450995395916531,0.2577004447023198,3.622610608019413,2.3734702819385696,0.18851040712160727,-0.6729013783699953,1.7823953175271532,1.7466491224445304,-1.5845901421157382,-0.2456645659228902,-0.0719878291290651,-1.0608380456163446,1.1057775629423878,0.4074093228538589,-1.531939311398755,-0.15901930866059563,0.29638372804863705,-0.2598505221206181,-0.20778333545329714,-0.6130979956600142,-0.15738905823243726,0.22071233079385028,-0.5423267483160454,-0.5139917754382621,-0.14146097139070463
4,2.0,2.5,0.014694502,0.1035,4740.658085397424,1.053480003490184e-05,-228.07849411205015,97.81717558177189,-101.34192331119712,78.80435530708209,45.56761679618194,3.759211407458058,64.0859888322313,-27.56123622244401,-21.226906965496678,60.22261702518554,4.583615266964911,-5.8260787469007305,13.512549411340254,-13.366555876301337,5.207355816570482,-2.0298189442876824,-24.851439227555552,3.142059991981098,4.135701017881191,-4.132932187817415,1.1115609052915705,-11.455461307887633,-12.912999233249009,2.846260274346795,0.16990257865729563,0.8111092323289516,5.324690174052411,-4.28545580278624,-2.0834803626161897,6.657754807726962,1.6455389967835712,-0.5723661497712813,1.1998648772866185,0.8690688723865471,3.0522243594547986,1.5450995395916522,0.25770044470231784,3.62261060801941,2.373470281938568,0.18851040712160638,-0.6729013783699951,1.7823953175271519,1.7466491224445295,-1.5845901421157373,-0.2456645659228901,-0.07198782912906504,-1.0608380456163438,1.105777562942387,0.4074093228538584,-1.5319393113987536,-0.15901930866059552,0.29638372804863683,-0.25985052212061793,-0.20778333545329702,-0.6130979956600137,-0.15738905823243707,0.22071233079385022,-0.542326748316045,-0.5139917754382619,-0.14146097139070454
5,2.5,3.0,0.004380387,0.09808333333333333,3677.686963288528,0.00011831082280545182,-333.2684770772769,88.59279826059779,-29.68290685495066,44.469100469050986,26.65312106077138,15.754616157010357,29.68021785168152,-37.46815917656763,-11.546187641215184,46.54902152323422,-5.490818991603357,-23.98256326188766,-1.420781758606676,2.2246362202238745,16.734302093655522,-7.453788553285039,-31.967557281170805,-3.3568779376479445,4.7032505103007605,-1.947276319454594,-6.9973929909398525,-12.576958713403059,-8.927514427718368,-0.13674413564380333,0.3911735459575724,2.0239819228457607,3.950134432815882,-1.5971282620397862,-1.581981547601107,3.6977626796147534,2.629194076673108,0.7369764843941924,1.1310960646182615,0.838831333112056,1.4630715386953996,1.6356613263334248,1.664177912246574,2.6974240337144924,1.5127533709989474,0.1296363905743217,0.3667510529532161,2.4794778576025003,1.5587018074914065,-1.7213863889200007,-0.28092395287337746,-0.11989780788024038,-1.0611946636421266,1.1265011180842797,0.500678472160386,-1.519008747991955,-0.22531293989211784,0.3698393692160043,-0.2805697842863773,-0.40707023845761425,-0.6613557172593463,-0.11250989810946702,0.16186127587332083,-0.629314756063037,-0.5719813596723925,-0.1769964055028928
6,3.0,3.5,0.010507906,0.06325,4514.621651006334,6.396431360952801e-06,-185.28543300068657,113.89835249584054,-134.77182156963397,49.658608096863446,32.57487991310722,9.213175900522934,71.62215549311159,-32.91498433549564,-25.493589593936107,47.95915091411577,-14.806931255689484,-8.204643762881322,20.481804216506077,-3.139169505134809,14.866112163952206,-5.700008022679722,-19.336296887901447,22.158254680581187,7.503024516943127,-6.820286538246691,-13.864970980283537,-9.168155526246693,0.23321294333544618,-1.886274157350555,-0.099546546074165,0.9146796246066324,0.4144160379489593,2.1579148963051624,-0.3351658338260044,-0.3927919929011517,2.7948459323436508,0.5031730286569529,0.1603480531130993,2.1272717686840017,-0.2248882453427966,-0.20248658372006892,2.1195696856506814,1.2278482987567414,-0.07790339262266088,-0.3357809529833289,0.6076364473545532,2.875044095902995,2.0382205834815896,-1.3807329690061771,-0.21940576780971544,-0.1424138240533254,-1.0876699951665552,1.1633716783653425,0.7186433981437366,-1.3746695036050807,-0.28740648187593554,0.33050658116397263,-0.3000037291359987,-0.45040423648925154,-0.6345358815437402,-0.11499951945934596,0.052225336627617816,-0.7372925650275478,-0.6084949553105189,-0.1841313179259409
7,3.5,4.0,0.01333582,0.105,4418.377377596073,5.164891785383373e-06,-161.8494846636773,117.19956838571184,-160.09110045247976,48.3328268588588,33.06009281618333,-25.493649157746162,53.78371281552285,-21.24288025272981,-31.004119609411468,42.585968803461654,-5.814757217707983,-9.26912898782966,13.554034925569024,-11.673154139326957,10.327681027408183,3.3703482880737923,-16.73908215713014,17.358815367599675,9.130426492083636,-10.815306743703458,-1.3663119177532312,2.1639852876807604,-1.8409276545430466,-9.074006382308008,-1.9292241693193386,-0.18617778632012663,-2.4623340809183953,3.2317346221001126,0.8484717391625554,-4.148364544960056,-0.18546940655411498,1.1900225761916905,-0.28600759205065596,-0.5069695955340467,-1.2864863314237467,0.33933899146820223,1.3560244436825644,-0.5385424884454959,-1.2853672655820916,-0.6595528931834785,0.43005754766594645,2.722047416823566,2.4178527915681025,-0.7867960725462555,-0.15547606933149563,-0.13824897873437655,-0.989290358776194,1.03693040007173,0.8617852093478261,-1.0873593921302789,-0.374530723266445,0.25653359424761024,-0.21266671645580765,-0.4060275235495891,-0.5754960567463575,-0.1362678239212166,-0.024067422791775206,-0.7145436238924121,-0.5678407574721637,-0.1580837298496218
8,4.0,4.5,0.006659889,0.08845833333333333,3890.4972029132246,4.6662606093781807e-05,-257.02090327718594,101.6183785219146,-80.17286433280722,70.1073301490721,53.1902480769628,-3.571424438103549,35.341172966301016,-19.883629837740514,-23.297464536802554,31.45398786890608,7.012505349127633,-3.1961966971172666,-8.759659204621821,-16.113866077311993,16.924851709802848,-0.6486746524364942,-20.651785496667024,11.187979379850763,2.3401012763350746,-9.802293665944111,2.3919492638706856,4.202604968901729,-2.586793370285417,-8.870373546551853,-1.8613140286629246,0.12425369061174374,-1.9488363156037833,2.769547587952489,0.8291634357087654,-3.9514739163969708,-0.18706156837451704,1.6864929787305578,-1.0465379872658447,-1.837194371802565,-0.8543680496978503,0.9397366921681028,1.4620884200146458,0.037252003834984615,-1.151412123979344,-1.0204925043208577,0.6788688092681766,2.3218896581848036,2.199140311872956,-0.01805736139343264,-0.12126542606231963,-0.3699818499554255,-0.8114912409147796,0.7101838022176048,0.7722317780986846,-0.6725147483954178,-0.4596097159619222,0.1154304639216592,-0.05277366646156048,-0.30503162329724975,-0.4539286832104082,-0.1436758278043129,-0.10478207763390725,-0.5537669585939536,-0.3919943628958207,-0.08817012463974148
9,4.5,5.0,0.017453365,0.10679166666666666,3487.4371305519553,1.0801554180095404e-05,-193.7525029303459,112.97797829469921,-153.25101526864935,23.41094881095308,44.040835923653205,4.826553498724943,59.24659140903496,-10.993288665288102,-34.781531727215466,17.88779865622368,-1.8215002990302978,9.745505404267343,16.467119525196185,-14.294993693430992,7.863719295900998,7.6771616525659905,-10.962410710631236,5.898839749907102,-4.95199370791267,-11.161008504811601,10.635604813571682,6.611607105363413,-6.099715351599695,-7.043793257527505,-1.4036186037820246,0.0005346816683722,-0.017004251826077232,1.9513705382078856,1.3391591879589666,-1.0047584925588775,0.26847279004919616,2.131000884503861,-0.3210642978826756,-2.8338187614498977,-0.9495335959322382,1.3512500084069659,0.7676992915906751,-0.4488246542397016,-1.1203261163082472,-1.0045790016611602,0.6774558282906532,1.588456700665555,2.00239878997319,1.0777977109138503,-0.08062115297260923,-0.7718601507266503,-0.6356062606411946,0.2861141867895228,0.5424504119519622,-0.16774447793447397,-0.42163246883106154,-0.1027519325807289,-0.06153392925804867,-0.23354930087301135,-0.235933659888605,-0.13875747043949918,-0.21460148926160816,-0.3153625985931906,-0.10388104453890694,0.05770051541088984
