username,audiofile,segment_index,start_time_sec,end_time_sec,embedding_x,embedding_y
agrainof,test1.wav,0.0,0.0,0.5,16.481302,3.942355
agrainof,test1.wav,1.0,0.5,1.0,9.610623,16.795765
agrainof,test1.wav,2.0,1.0,1.5,10.003798,16.481752
agrainof,test1.wav,3.0,1.5,2.0,16.488474,4.144033
agrainof,test1.wav,4.0,2.0,2.5,9.722408,16.675903
agrainof,test1.wav,5.0,2.5,3.0,15.546632,7.3061256
agrainof,test1.wav,6.0,3.0,3.5,16.144428,5.9885535
agrainof,test1.wav,7.0,3.5,4.0,14.296201,2.1884801
agrainof,test1.wav,8.0,4.0,4.5,14.680888,2.5002031
agrainof,test1.wav,9.0,4.5,5.0,13.290375,0.4323453
agrainof,test2.wav,0.0,0.0,0.5,8.660976,13.005132
agrainof,test2.wav,1.0,0.5,1.0,8.707542,13.288009
agrainof,test2.wav,2.0,1.0,1.5,8.837963,16.304691
agrainof,test2.wav,3.0,1.5,2.0,9.267342,12.947568
agrainof,test2.wav,4.0,2.0,2.5,8.545466,13.370509
agrainof,test2.wav,5.0,2.5,3.0,8.89235,16.184502
agrainof,test2.wav,6.0,3.0,3.5,9.531587,16.749123
agrainof,test2.wav,7.0,3.5,4.0,9.016806,12.804826
agrainof,test2.wav,8.0,4.0,4.5,9.074493,13.829451
agrainof,test2.wav,9.0,4.5,5.0,8.739821,15.987029
agrainof,test2.wav,10.0,5.0,5.5,9.382992,13.569855
agrainof,test2.wav,11.0,5.5,6.0,9.315257,16.068699
agrainof,test2.wav,12.0,6.0,6.5,9.185744,16.659258
agrainof,test2.wav,13.0,6.5,7.0,9.164982,13.751595
agrainof,test2.wav,14.0,7.0,7.5,8.718711,15.500147
agrainof,test2.wav,15.0,7.5,8.0,8.849457,13.56999
agrainof,test2.wav,16.0,8.0,8.5,9.646363,15.606404
agrainof,test2.wav,17.0,8.5,9.0,9.577422,15.174018
agrainof,test2.wav,18.0,9.0,9.5,8.414141,15.244454
agrainof,test2.wav,19.0,9.5,10.0,9.12606,13.132661
agrainof,test2.wav,20.0,10.0,10.5,9.834739,16.283863
agrainof,test2.wav,21.0,10.5,11.0,9.044955,16.387852
agrainof,test2.wav,22.0,11.0,11.5,9.304661,13.548518
agrainof,test2.wav,23.0,11.5,12.0,8.549106,15.223976
agrainof,test2.wav,24.0,12.0,12.5,9.487467,16.399565
agrainof,test2.wav,25.0,12.5,13.0,8.61308,15.050571
agrainof,test2.wav,26.0,13.0,13.5,9.164216,13.112765
agrainof,test2.wav,27.0,13.5,14.0,9.780702,15.620302
agrainof,test2.wav,28.0,14.0,14.5,8.638276,13.447883
agrainof,test2.wav,29.0,14.5,15.0,8.886444,14.527728
agrainof,test2.wav,30.0,15.0,15.5,9.066736,14.119592
agrainof,test2.wav,31.0,15.5,16.0,8.718862,14.904119
agrainof,test2.wav,32.0,16.0,16.5,9.395939,16.707808
agrainof,test2.wav,33.0,16.5,17.0,9.454585,13.451117
agrainof,test2.wav,34.0,17.0,17.5,8.721763,15.266415
agrainof,test2.wav,35.0,17.5,18.0,9.055914,12.7008505
agrainof,test2.wav,36.0,18.0,18.5,9.322628,13.471393
agrainof,test2.wav,37.0,18.5,19.0,8.970513,16.26058
agrainof,test2.wav,38.0,19.0,19.5,9.297778,16.400269
agrainof,test2.wav,39.0,19.5,20.0,9.48537,16.93514
agrainof,test2.wav,40.0,20.0,20.5,8.959732,12.749011
agrainof,test2.wav,41.0,20.5,21.0,10.002862,15.944573
agrainof,test2.wav,42.0,21.0,21.5,8.87559,13.494468
agrainof,test2.wav,43.0,21.5,22.0,9.618714,16.21959
agrainof,test2.wav,44.0,22.0,22.5,9.805857,16.211569
agrainof,test2.wav,45.0,22.5,23.0,8.872011,12.8455715
agrainof,test2.wav,46.0,23.0,23.5,9.906201,15.635849
agrainof,test2.wav,47.0,23.5,24.0,9.0948715,16.396286
agrainof,test2.wav,48.0,24.0,24.5,9.908562,15.69428
agrainof,test2.wav,49.0,24.5,25.0,9.895686,16.12067
agrainof,test2.wav,50.0,25.0,25.5,10.019928,16.012526
agrainof,test2.wav,51.0,25.5,26.0,8.758026,13.944628
agrainof,test2.wav,52.0,26.0,26.5,9.714692,15.873166
agrainof,test2.wav,53.0,26.5,27.0,9.681051,15.411824
agrainof,test2.wav,54.0,27.0,27.5,9.015045,16.47588
agrainof,test2.wav,55.0,27.5,28.0,8.831824,14.553471
agrainof,test2.wav,56.0,28.0,28.5,8.855382,14.267641
agrainof,test2.wav,57.0,28.5,29.0,9.977574,15.680044
agrainof,test2.wav,58.0,29.0,29.5,9.333772,16.438559
agrainof,test2.wav,59.0,29.5,30.0,8.766198,14.074476
agrainof,test2.wav,60.0,30.0,30.5,9.189309,16.595388
agrainof,test2.wav,61.0,30.5,31.0,8.7907095,15.199785
agrainof,test2.wav,62.0,31.0,31.5,9.0976715,15.178539
agrainof,test2.wav,63.0,31.5,32.0,9.413214,14.944346
agrainof,test2.wav,64.0,32.0,32.5,9.970952,16.170164
agrainof,test2.wav,65.0,32.5,33.0,8.577228,13.510697
agrainof,test2.wav,66.0,33.0,33.5,9.391974,13.7354
agrainof,test2.wav,67.0,33.5,34.0,8.7980585,16.13966
agrainof,test2.wav,68.0,34.0,34.5,9.331571,13.043458
agrainof,test2.wav,69.0,34.5,35.0,9.194182,13.858691
agrainof,test2.wav,70.0,35.0,35.5,8.970759,15.429947
agrainof,test2.wav,71.0,35.5,36.0,9.475109,16.933462
agrainof,test2.wav,72.0,36.0,36.5,8.929652,12.717347
agrainof,test2.wav,73.0,36.5,37.0,8.763287,13.014954
agrainof,test2.wav,74.0,37.0,37.5,8.882418,16.065573
agrainof,test2.wav,75.0,37.5,38.0,8.857809,12.9975395
