username,audiofile,label,segment_index,start_time_sec,end_time_sec,embedding_x,embedding_y
dummyuser2,755167__barz99__street.mp4,1.0,0.0,0.0,1.0,-1.1459072,-14.269226
dummyuser2,755167__barz99__street.mp4,1.0,1.0,1.0,2.0,-0.99358755,-13.791458
dummyuser2,755167__barz99__street.mp4,1.0,2.0,2.0,3.0,-0.9368634,-13.660738
dummyuser2,755167__barz99__street.mp4,1.0,3.0,3.0,4.0,-0.9236423,-13.687132
dummyuser2,755167__barz99__street.mp4,1.0,4.0,4.0,5.0,-0.9843252,-13.821374
dummyuser2,755167__barz99__street.mp4,1.0,5.0,5.0,6.0,-0.9343752,-13.755155
dummyuser2,755167__barz99__street.mp4,1.0,6.0,6.0,7.0,-0.9129079,-13.796975
dummyuser2,755167__barz99__street.mp4,1.0,7.0,7.0,8.0,-1.0833447,-14.1370535
dummyuser2,755167__barz99__street.mp4,1.0,8.0,8.0,9.0,-1.1182903,-14.274337
dummyuser2,755167__barz99__street.mp4,1.0,9.0,9.0,10.0,-1.1210235,-14.231436
dummyuser2,755167__barz99__street.mp4,1.0,10.0,10.0,11.0,-1.2065902,-14.282917
dummyuser2,755167__barz99__street.mp4,1.0,11.0,11.0,12.0,-1.1982037,-14.355214
dummyuser2,755167__barz99__street.mp4,1.0,12.0,12.0,13.0,-1.122646,-14.387489
dummyuser2,755167__barz99__street.mp4,1.0,13.0,13.0,14.0,-1.176515,-14.323189
dummyuser2,755167__barz99__street.mp4,1.0,14.0,14.0,15.0,-1.103216,-14.271285
dummyuser2,755167__barz99__street.mp4,1.0,15.0,15.0,16.0,-1.1612004,-14.290957
dummyuser2,755167__barz99__street.mp4,1.0,16.0,16.0,17.0,-0.8947992,-13.743691
dummyuser2,755167__barz99__street.mp4,1.0,17.0,17.0,18.0,-1.1682802,-14.331107
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,0.0,0.0,1.0,-1.2408845,-10.747578
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,1.0,1.0,2.0,-1.6118714,-9.997813
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,2.0,2.0,3.0,-1.585973,-10.018047
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,3.0,3.0,4.0,-1.3824258,-10.50715
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,4.0,4.0,5.0,-1.6056362,-10.032844
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,5.0,5.0,6.0,-1.5204993,-10.122109
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,6.0,6.0,7.0,-1.6454848,-10.114532
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,7.0,7.0,8.0,-1.5539025,-10.192937
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,8.0,8.0,9.0,-1.3779895,-10.489517
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,9.0,9.0,10.0,-1.4658656,-10.352471
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,10.0,10.0,11.0,-1.4088047,-10.43985
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,11.0,11.0,12.0,-1.2673491,-10.67658
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,12.0,12.0,13.0,-1.3252188,-10.598688
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,13.0,13.0,14.0,-1.2984079,-10.647416
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,14.0,14.0,15.0,-1.2868218,-10.628011
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,15.0,15.0,16.0,-0.93593246,-11.466636
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,16.0,16.0,17.0,-1.1049255,-11.125326
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,17.0,17.0,18.0,-1.0728265,-11.127882
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,18.0,18.0,19.0,-0.79800075,-11.901559
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,19.0,19.0,20.0,-0.95293754,-11.367949
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,20.0,20.0,21.0,-0.5289772,-12.526398
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,21.0,21.0,22.0,-0.71427256,-11.55928
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,22.0,22.0,23.0,-1.858026,-8.949866
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,23.0,23.0,24.0,-1.685406,-9.875786
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,24.0,24.0,25.0,-1.7864761,-9.582345
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,25.0,25.0,26.0,-1.7330605,-9.812627
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,26.0,26.0,27.0,-1.8497218,-9.616899
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,27.0,27.0,28.0,-1.832806,-8.986269
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,28.0,28.0,29.0,-1.8307413,-8.979141
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,29.0,29.0,30.0,-1.8739986,-9.071419
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,30.0,30.0,31.0,-1.6869648,-9.846301
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,31.0,31.0,32.0,-1.1371114,-11.073908
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,32.0,32.0,33.0,-1.0544744,-11.114473
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,33.0,33.0,34.0,-1.080811,-11.132111
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,34.0,34.0,35.0,-0.7216299,-12.00507
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,35.0,35.0,36.0,-0.6539936,-12.03984
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,36.0,36.0,37.0,-0.62371397,-12.336394
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,37.0,37.0,38.0,-0.6807202,-12.227453
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,38.0,38.0,39.0,-0.6452487,-12.287559
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,39.0,39.0,40.0,-0.69929224,-11.886511
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,40.0,40.0,41.0,-0.5385768,-12.584181
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,41.0,41.0,42.0,-0.5729907,-12.567971
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,42.0,42.0,43.0,-0.54798657,-12.581736
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,43.0,43.0,44.0,-0.6912367,-11.96897
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,44.0,44.0,45.0,-0.57599336,-12.237757
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,45.0,45.0,46.0,-0.6109805,-12.108791
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,46.0,46.0,47.0,-0.64550894,-12.313108
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,47.0,47.0,48.0,-0.6253512,-12.429656
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,48.0,48.0,49.0,-0.6902365,-12.1349125
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,49.0,49.0,50.0,-0.7242374,-12.212229
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,50.0,50.0,51.0,-0.5011093,-12.350998
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,51.0,51.0,52.0,-0.5159751,-12.534774
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,52.0,52.0,53.0,-0.45631075,-12.614999
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,53.0,53.0,54.0,-0.58914244,-12.007266
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,54.0,54.0,55.0,-1.9057914,-9.190485
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,55.0,55.0,56.0,-1.879532,-9.362076
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,56.0,56.0,57.0,-1.8664135,-9.457068
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,57.0,57.0,58.0,-1.8585356,-9.453308
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,58.0,58.0,59.0,-1.8510039,-9.518169
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,59.0,59.0,60.0,-1.8935663,-9.384292
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,60.0,60.0,61.0,-1.8475782,-9.001469
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,61.0,61.0,62.0,-0.6252413,-12.107582
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,62.0,62.0,63.0,-1.4686644,-10.3465605
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,63.0,63.0,64.0,-0.95511377,-11.302994
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,64.0,64.0,65.0,-0.8669216,-11.410903
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,65.0,65.0,66.0,-1.1778723,-10.862307
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,66.0,66.0,67.0,-0.78962386,-11.549104
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,67.0,67.0,68.0,-0.8793103,-11.399709
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,68.0,68.0,69.0,-0.81940395,-11.468871
dummyuser3,755302__urkki69__asphalt-truck.mp4,-1.0,69.0,69.0,70.0,-0.79133666,-11.507398
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,0.0,0.0,1.0,4.994571,18.861164
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,1.0,1.0,2.0,4.549902,16.531328
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,2.0,2.0,3.0,3.3571122,17.731071
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,3.0,3.0,4.0,3.7648766,18.76489
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,4.0,4.0,5.0,3.1985621,17.628378
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,5.0,5.0,6.0,3.650568,18.523706
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,6.0,6.0,7.0,3.811575,18.052668
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,7.0,7.0,8.0,4.6431346,18.642096
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,8.0,8.0,9.0,4.2110286,17.997814
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,9.0,9.0,10.0,3.6881838,18.291199
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,10.0,10.0,11.0,3.6162367,17.122519
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,11.0,11.0,12.0,3.6263983,17.54247
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,12.0,12.0,13.0,3.3461733,17.004454
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,13.0,13.0,14.0,3.388567,17.133127
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,14.0,14.0,15.0,4.3144174,19.071571
dummyuser3,751991__klankbeeld__people-square-may-nl-754-pm-220530_0389.mp4,0.0,15.0,15.0,16.0,4.275255,17.984663
