username,audiofile,segment_index,start_time_sec,end_time_sec,embedding_x,embedding_y
user1,2024-09-24-16-44-07.wav,0.0,0.0,1.0,0.03137288,2.0853271
user1,2024-09-24-16-44-07.wav,1.0,1.0,2.0,-1.5193331,3.440076
user1,2024-09-24-16-44-07.wav,2.0,2.0,3.0,0.09655989,2.0728452
user1,2024-09-24-16-44-07.wav,3.0,3.0,4.0,-0.41346836,2.1612258
user1,2024-09-24-16-44-07.wav,4.0,4.0,5.0,0.94623375,4.3015842
user1,2024-09-24-16-44-07.wav,5.0,5.0,6.0,1.179271,3.7736673
user1,2024-09-24-16-44-07.wav,6.0,6.0,7.0,-1.5523722,3.6904151
user1,2024-09-24-16-44-07.wav,7.0,7.0,8.0,-0.11033747,1.6390777
user1,2024-09-24-16-44-07.wav,8.0,8.0,9.0,-0.4086818,2.203222
user1,2024-09-24-16-44-07.wav,9.0,9.0,10.0,-0.11471064,1.8359842
user1,2024-09-24-16-44-07.wav,10.0,10.0,11.0,-1.6117761,3.8897305
user1,2024-09-24-16-44-07.wav,11.0,11.0,12.0,-1.545923,3.7122307
user1,2024-09-24-16-44-07.wav,12.0,12.0,13.0,-2.0449016,4.3494773
user1,2024-09-24-16-44-07.wav,13.0,13.0,14.0,-0.44098473,2.2520428
user1,2024-09-24-16-44-07.wav,14.0,14.0,15.0,-1.570034,3.8296702
user1,2024-09-24-16-44-07.wav,15.0,15.0,16.0,-1.9044976,4.2780275
user1,2024-09-24-16-44-07.wav,16.0,16.0,17.0,2.6968038,-3.4963393
user1,2024-09-24-16-44-07.wav,17.0,17.0,18.0,-1.7551985,4.026766
user1,2024-09-24-16-44-07.wav,18.0,18.0,19.0,-2.1918924,4.479016
user1,2024-09-24-16-44-07.wav,19.0,19.0,20.0,2.882127,-3.8674092
user1,2024-09-24-16-44-07.wav,20.0,20.0,21.0,-0.05847142,2.0331926
user1,2024-09-24-16-44-07.wav,21.0,21.0,22.0,0.3848838,1.2102326
user1,2024-09-24-16-44-07.wav,22.0,22.0,23.0,0.04431278,0.30539572
user1,2024-09-24-16-44-07.wav,23.0,23.0,24.0,2.731622,-2.5599732
user1,2024-09-24-16-44-07.wav,24.0,24.0,25.0,-0.14885113,1.7214246
user1,2024-09-24-16-44-07.wav,25.0,25.0,26.0,2.7362504,-2.6909246
user1,2024-09-24-16-44-07.wav,26.0,26.0,27.0,0.18680342,1.1814034
user1,2024-09-24-16-44-07.wav,27.0,27.0,28.0,0.11385547,1.350736
user1,2024-09-24-16-44-07.wav,28.0,28.0,29.0,4.381496,3.083419
user1,2024-09-24-16-44-07.wav,29.0,29.0,30.0,1.6272659,-2.1594963
user1,2024-09-24-16-44-07.wav,30.0,30.0,31.0,3.9313877,-3.8910599
user1,2024-09-24-16-44-07.wav,31.0,31.0,32.0,3.071377,-3.8388329
user1,2024-09-24-16-44-07.wav,32.0,32.0,33.0,0.23855211,-0.4464359
user1,2024-09-24-16-44-07.wav,33.0,33.0,34.0,0.11197802,-0.24770549
user1,2024-09-24-16-44-07.wav,34.0,34.0,35.0,-0.7746821,2.2849379
user1,2024-09-24-16-44-07.wav,35.0,35.0,36.0,1.6765553,-2.2304375
user1,2024-09-24-16-44-07.wav,36.0,36.0,37.0,2.9481168,-3.7892613
user1,2024-09-24-16-44-07.wav,37.0,37.0,38.0,-2.88077,5.62906
user1,2024-09-24-16-44-07.wav,38.0,38.0,39.0,-2.8580709,5.6397185
user1,2024-09-24-16-44-07.wav,39.0,39.0,40.0,-1.9886001,4.1679206
user1,2024-09-24-16-44-07.wav,40.0,40.0,41.0,-2.891088,5.5170455
user1,2024-09-24-16-44-07.wav,41.0,41.0,42.0,-2.8580973,5.511802
user1,2024-09-24-16-44-07.wav,42.0,42.0,43.0,1.78033,-2.4202259
user1,2024-09-24-16-44-07.wav,43.0,43.0,44.0,-2.7913043,5.3642464
user1,2024-09-24-16-44-07.wav,44.0,44.0,45.0,-2.8191082,5.3857617
user1,2024-09-24-16-44-07.wav,45.0,45.0,46.0,1.7226193,-2.2750375
user1,2024-09-24-16-44-07.wav,46.0,46.0,47.0,-1.9060011,4.202071
user1,2024-09-24-16-44-07.wav,47.0,47.0,48.0,-2.0672348,4.425927
user1,2024-09-24-16-44-07.wav,48.0,48.0,49.0,0.104003526,-0.1595868
user1,2024-09-24-16-44-07.wav,49.0,49.0,50.0,-2.8759499,5.6620436
user1,2024-09-24-16-44-07.wav,50.0,50.0,51.0,-1.6051466,3.7290642
user1,2024-09-24-16-44-07.wav,51.0,51.0,52.0,-2.7813654,5.3342576
user1,2024-09-24-16-44-07.wav,52.0,52.0,53.0,-0.22879973,2.1156616
user1,2024-09-24-16-44-07.wav,53.0,53.0,54.0,-2.7973359,5.345829
user1,2024-09-24-16-44-07.wav,54.0,54.0,55.0,-2.9018078,5.6651216
