filename,chunk index,start time sec,end time sec,centroid,rms
test_office.wav,0,0.0,0.5,2780.0,0.004678464209085687
test_office.wav,1,0.5,1.0,5319.0,0.042465011019599964
test_office.wav,2,1.0,1.5,5112.0,0.03524896174475341
test_office.wav,3,1.5,2.0,5208.0,0.037778860360669894
test_office.wav,4,2.0,2.5,4744.0,0.021879964438831487
test_office.wav,5,2.5,3.0,5504.0,0.06615998034641211
test_office.wav,6,3.0,3.5,4152.0,0.030055791874232136
test_office.wav,7,3.5,4.0,4191.0,0.022416516141227485
test_office.wav,8,4.0,4.5,4342.0,0.03952717728596562
test_office.wav,9,4.5,5.0,3591.0,0.01873106565251963
test_office.wav,10,5.0,5.5,3243.0,0.00770017049646743
test_office.wav,11,5.5,6.0,2065.0,0.0072095632289050455
test_office.wav,12,6.0,6.5,2130.0,0.007993596062281401
test_office.wav,13,6.5,7.0,2817.0,0.008621898410297717
test_office.wav,14,7.0,7.5,2480.0,0.007278512609157683
test_office.wav,15,7.5,8.0,2563.0,0.007664015216884877
test_office.wav,16,8.0,8.5,3115.0,0.01013616596328929
test_office.wav,17,8.5,9.0,2448.0,0.009492524523125403
test_office.wav,18,9.0,9.5,3042.0,0.009734767587005838
test_office.wav,19,9.5,10.0,2622.0,0.007312620874737055
test_office.wav,20,10.0,10.5,3159.0,0.008116468409091625
test_office.wav,21,10.5,11.0,2956.0,0.008017879988892139
test_office.wav,22,11.0,11.5,4010.0,0.006416464009843242
test_office.wav,23,11.5,12.0,4136.0,0.006109696596399678
test_office.wav,24,12.0,12.5,3273.0,0.00631434566225143
test_office.wav,25,12.5,13.0,2934.0,0.031296502142590006
test_office.wav,26,13.0,13.5,3377.0,0.008544346849076158
test_office.wav,27,13.5,14.0,5022.0,0.010206322312751002
test_office.wav,28,14.0,14.5,5027.0,0.02591229805132829
test_office.wav,29,14.5,15.0,4808.0,0.013175113174107925
test_office.wav,30,15.0,15.5,2936.0,0.009876462468294269
test_office.wav,31,15.5,16.0,2075.0,0.009454591531186494
