segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,1.0,0.094018236,0.042520833333333334,2897.2018138736207,0.00021088969213888523,163.37812521962184,174.20229701577827,-43.89698198269629,38.42333462078374,-11.179403906410554,45.33656195284772,-29.176232753692624,18.547835161616554,-13.15916872431124,8.798481683546779,-0.5576685307447431,5.24895722189786,2.6870162901252006,-2.6357816951941455,15.025125994461277,0.1884778886827324,8.4698399231133,-10.826643689243348,12.908060646734864,-1.5096479836739087,5.536260689663307,-0.9729197922763417,0.02219208331756289,2.1343239679568837,-1.4306940490785263,0.6983378300922064,-0.14535968619295414,0.46252714098255693,-0.6596155790319188,0.6860560863404433,-0.429954903906943,-1.1092131703045678,0.053251061405421574,0.34962447752759995,-0.5568037813203716,-1.0182721877040655,0.7300296009979442,0.39110835668682337,-0.654732981609127,-0.8508677340716503,-0.6839493978548394,0.3855407799245012,-0.08115421665956332,-0.5719575412140541,0.1789800905441758,-0.08088711501604454,-0.04188595587092482,-0.07477859596479919,0.21161641186724447,-0.08457748304320639,0.09627996976802446,0.290461673149974,0.022801173230251492,-0.10904027330213295,0.17656524439728577,0.18757689727251048,-0.1635442627921633,-0.09373569528713233,0.2609602954386329,0.3670938709990181
1,1.0,2.0,0.10632308,0.051375,3371.580028018703,0.0002940228087193698,178.60018650527218,165.15142396706716,-44.35065045196099,46.34982259056769,-19.12749283658799,47.014667368642506,-30.161733845339477,20.291884001361367,-13.260866778736164,10.644909357871276,-2.6746016831879498,4.7386497161648595,5.593297003974744,-1.2139287283349331,13.845363760149127,-3.0505457324121865,9.74953867742233,-8.181706913881182,11.097002381622206,-5.55868832784455,5.536260689663307,-0.9729197922763417,0.02219208331756289,2.1343239679568837,-1.4306940490785263,0.6983378300922064,-0.14535968619295414,0.46252714098255693,-0.6596155790319188,0.6860560863404433,-0.429954903906943,-1.1092131703045678,0.053251061405421574,0.34962447752759995,-0.5568037813203716,-1.0182721877040655,0.7300296009979442,0.39110835668682337,-0.654732981609127,-0.8508677340716503,-0.6839493978548394,0.3855407799245012,-0.08115421665956332,-0.5719575412140541,0.1789800905441758,-0.08088711501604454,-0.04188595587092482,-0.07477859596479919,0.21161641186724447,-0.08457748304320639,0.09627996976802446,0.290461673149974,0.022801173230251492,-0.10904027330213295,0.17656524439728577,0.18757689727251048,-0.1635442627921633,-0.09373569528713233,0.2609602954386329,0.3670938709990181
2,2.0,3.0,0.11718691,0.0475625,3295.5417244633,0.0002162051223264182,180.3885158157069,166.53518115758794,-43.552617347333324,46.7970837410202,-17.21362674858046,48.455150869209014,-29.727042995052,19.975678106094122,-15.891959274817529,11.150600311391933,-2.0422619412870113,1.9405062625133271,4.5224243697295385,-0.20005947771272004,13.174675590233527,-2.8574163205422316,10.497171311120889,-8.550155612273745,9.061234143920885,-6.923734764764584,5.5362606896632895,-0.9729197922763569,0.022192083317566367,2.134323967956881,-1.4306940490785272,0.6983378300921997,-0.14535968619295095,0.46252714098255665,-0.6596155790319174,0.6860560863404435,-0.4299549039069429,-1.1092131703045685,0.053251061405421275,0.34962447752760023,-0.5568037813203718,-1.0182721877040657,0.7300296009979443,0.39110835668682514,-0.6547329816091274,-0.8508677340716504,-0.68394939785484,0.38554077992450164,-0.08115421665956338,-0.5719575412140548,0.17898009054417607,-0.08088711501604468,-0.04188595587092484,-0.07477859596479929,0.2116164118672446,-0.08457748304320649,0.09627996976802453,0.2904616731499742,0.022801173230251503,-0.10904027330213306,0.17656524439728588,0.18757689727251056,-0.16354426279216355,-0.09373569528713241,0.2609602954386332,0.3670938709990185
3,3.0,4.0,0.118150055,0.04975,3193.9177900794857,0.0002379252212743192,185.50966987550868,169.70560606451534,-43.275612085216366,47.0528376802864,-17.639382949800986,48.704454241548405,-29.833094130443307,19.55969886473273,-16.151995598631384,10.878370965123114,-3.0060637917587525,0.1502903230635642,2.2078851881150694,-0.07971955973249845,13.98054141262092,-3.476487211009098,10.537959724323539,-10.074595791352284,8.940033419303948,-6.172865174324886,3.304118829391311,0.6803564516410276,-0.10531227503645614,0.39727884656080026,-0.3900016049132724,0.6169049283858263,-0.1400273813453134,0.023726076267681667,-0.32815611962548225,0.4435128524453748,-0.05683846198340259,-0.5122940997393551,0.010143931138418587,-0.011023159759452707,-0.12437882916799255,-0.37986240072307736,0.3075819525487346,-0.09706263748379061,-0.19852602149582935,0.17817415740988432,-0.8138370482844007,0.2750045579511136,-0.09730547281459492,-0.6180135683437387,0.15438232610102254,-0.07283990561764325,-0.047648462170916075,-0.07370897115071406,0.19073179826622086,-0.16085434288926456,0.12072996086831897,0.3972770663822155,0.05330888703298958,-0.058657333976439165,0.248166085425677,0.23457306193035798,-0.24630400359501414,-0.09623758467993994,0.29511867732403024,0.3304996946604462
4,4.0,5.0,0.122913375,0.048,3340.7735620285766,0.000229898366238219,187.60468698282003,167.0606070056724,-44.32354074948077,48.74344691570879,-19.07692909519669,47.98335766685577,-30.067351042105464,21.226563434843655,-15.011682209523215,12.112031311623076,-2.541711995994055,1.9970710669256684,4.645977505082144,-1.4547638918573629,12.173518261623524,-4.689912310539138,11.725777404652415,-7.924657467073673,10.712880219848358,-5.456898230791991,3.232584630525108,0.12814598538748048,-0.31982682080324426,0.14305882258465302,-1.0561398184402735,0.33461870586517334,-0.3574556179713986,0.3080346935159984,0.23273675060108528,0.38444028807194547,-0.13511327602859088,0.044635660162695726,0.18881049269018052,-0.015253070339538672,0.10980996458986775,-0.3995925948320074,0.12353211126173184,0.16651537733646862,0.4219650155273894,0.4700806751826739,-0.6708363845584445,0.20704996279861881,-0.0932429084969409,-0.4068067234626438,0.21159732276160753,-0.03688259397398757,0.023619989330816576,-0.08492358681478882,0.08292934616901528,-0.29416717683618954,0.013412350527063934,0.24881353690304836,-0.08329484566297031,-0.0013978132546264058,0.2316310365280589,0.2586599397752097,-0.214708034649262,-0.09094731056241151,0.18538480771370228,0.13182938379598688
5,5.0,6.0,0.13223642,0.0473125,3333.6880803918802,0.00023829803488998238,191.51269506867217,168.29049330123007,-44.49175012606955,47.3630352360274,-20.145849687846237,50.33508861174826,-30.691716728539312,19.78507171832501,-15.341785909510731,12.381758119982578,-2.709068965751441,2.1488968152619146,5.582240091990534,-0.6416923200598752,13.724048278614166,-4.033609741029119,10.673145393400238,-8.979769173900172,9.278549236179323,-5.4012358077814255,2.6189134778103975,-0.14842989135269322,-0.2933258286950061,0.03988869892430622,-0.8460595338925408,0.5159978641175036,-0.27755403115831057,0.171228508962266,-0.15213275251731642,0.032592271028369944,0.026274086495475493,0.3002477463728763,0.2520157809279897,0.23877658157897375,0.350719772852893,-0.15474667448830542,-0.19824167210901947,0.022216922962302214,0.2825114064427649,0.14115653460341765,-0.3756162819192047,-0.036379728222449934,-0.0946829802157897,-0.0017663071340693684,0.14588400858462677,-0.15495456594157403,0.08003534181249203,0.028367635040161085,-0.005013181619046352,-0.26448881349759673,-0.06396561303385875,0.06439882482106524,-0.12038185997008274,-0.00993895379617562,0.012891730248080432,0.1395444394649033,-0.06026907778951787,0.02893177991750288,0.08910195226023078,-0.06880361208386132
6,6.0,7.0,0.13195847,0.050333333333333334,3356.1091496680538,0.00026815414999339937,193.5499263717507,167.88346746616799,-44.543682430922956,47.35727907607297,-21.2410924717592,49.31292721343495,-31.08500978586099,21.403165146877974,-15.13338036637243,12.321108174321928,-2.8663257344336213,1.1643813172276305,3.7792993812427085,0.004661550753274957,13.851971980186242,-4.576818029692257,11.047239032891198,-8.264992034317459,11.001801313120144,-4.959146072122946,2.524681442661526,0.4767231932135971,-0.3500156823378629,0.2789854244619104,-0.144678470780856,0.5643783923564234,0.04150358536763043,-0.035842009438679295,-0.3329805317409241,-0.5793195071320008,-0.40444942551106233,-0.2714164088454431,-0.4841590918042155,0.217735540585255,0.3638021003094791,0.16246964805459593,-0.090598759919488,-0.12326797634827855,0.03167234299008638,-0.173212003688483,-0.49714405991928473,0.08965646982373993,-0.06753358076932854,0.01127005122392192,0.2756700153294176,-0.16816771853799303,0.13160829113939926,-0.018073462038848048,-0.048106261386796634,-0.1191090577336315,0.01436212169608577,-0.043677211710890354,-0.08036125560672419,-0.07563738022110576,-0.09283478220290002,0.13176171755648178,-0.004683349079234432,-0.009782790672003225,0.019717355069597788,0.034439467231659346
7,7.0,8.0,0.13278897,0.05222916666666667,3350.98269646543,0.0002519749885752939,195.63161757009533,168.5520263775041,-44.632170387970305,47.945365094725844,-20.787598930982433,50.61965878884633,-30.712034914357098,20.3275405535269,-16.85181028279336,10.936793888915538,-2.712386490061592,2.067873929776964,3.9013031546747357,0.3844506268570505,14.894913417604025,-4.306767723874065,9.886020549659051,-9.79334389291888,10.20812990488188,-5.7159585806423205,1.7799890137270797,0.3241692066157198,-0.563632745348095,0.32048400995182474,-0.1163122358198477,-0.27274774456766837,0.06066972604763202,0.3375026029458258,-0.0703633865497093,-0.39705131744063493,-0.24199845241146048,-0.03227394112995966,-0.25528057646479674,-0.1772122342027276,-0.1869162457873961,0.036828675158137106,0.1133019991917553,0.1924879389460973,0.44213007607397575,0.15580243642615632,-0.7586502800688335,0.05343667444137372,-0.0408745645300426,-0.13233009089143538,0.2193427817500588,-0.23175328787544075,0.0559208573899469,0.048179325965970264,0.15203900500262474,0.10136435915736641,0.15772202880930275,0.008046772407867248,-0.02344916980110455,-0.0888918287330434,-0.12494654428737383,0.04397531837486333,0.032268100144900703,0.010490355773299874,0.06193768671525342,0.19922765544858412
8,8.0,9.0,0.13501415,0.052083333333333336,3292.5894948708606,0.00023211473186567834,198.16863294541608,169.3134564336034,-46.00340903021971,49.84720910866912,-19.479446827532872,50.66296454008885,-29.84967402235842,20.776118970049314,-15.921572681586522,9.937915891496594,-4.56230036139429,0.6805004654409291,3.0656505147189677,-0.8791576623895514,13.40709619367599,-3.740985078843686,11.66634602692557,-8.134209989305711,10.406451600447513,-6.165596862803958,1.1663265629703448,0.34012878552197334,-0.5223412663233423,0.05911142319050336,-0.04266339082953312,-0.11184708248220533,0.13147395912262605,0.1345303363299783,-0.04867923931670134,0.003716793638290813,0.07083360190530588,-0.007489554640337925,0.040652393352952995,-0.1854455635542166,-0.08554593710448748,0.16342831812717978,-0.05565646978482767,0.032465915984554984,0.44074245605977286,0.6349550604296011,-1.0716660228587096,-0.061427989684641575,0.12694662812747198,-0.28503362567514584,0.12728943871852796,-0.14512579842537926,0.0284632861263979,0.0901251617831292,0.19311544666316194,0.2208320453396071,0.26325256577301026,0.09004196023268186,0.0498198650924234,-0.018155080877291955,-0.061914326274955876,-0.059334747954452774,-0.05366682769388847,-0.02000847263971365,0.04096009063823986,0.17117069798478313
9,9.0,10.0,0.13413608,0.0504375,3337.820295091659,0.0002782515823318938,198.1032868504749,169.19634485059098,-46.58005055316165,47.72049026948845,-21.60823368905864,48.296331225582975,-31.006035980052438,21.78610782146847,-15.299506684652233,11.588097674192072,-3.0710739143284083,2.229467535505467,4.662661642928422,-1.0858438845020995,13.011904942932313,-4.2673828406627194,10.93010189234183,-8.08272050167556,11.786874472885517,-4.018998230310139,-0.4951604826881772,0.18705068469998712,-0.4115358593524793,-0.5118247548971667,0.19964683488209115,-0.30465583784038514,-0.04293493108607406,0.32693896590778837,0.46591162628369537,0.2478959164300559,0.5772427168338046,0.20851818130965993,-0.12763581065611715,-0.004092010016507199,-0.04933892987699247,0.06465058234971915,-0.054372316451846245,-0.0031982443376152056,0.3876647834841886,0.7332112797872957,-0.9693611057321232,-0.029626682773339366,0.20111602717617538,-0.20834935958048756,0.23601503462775592,0.05966911833752293,0.09761730886182104,0.05065805677962195,0.1145356098879866,0.04995563334032547,0.09868931828800391,0.0033028130651671594,-0.06529659194148658,0.09054565626244088,0.01049255557103599,-0.06389651205889325,-0.05684629784238136,-0.08599937288593537,-0.13598306010860756,-0.11755105506868493
