segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,0.044340108,0.10325,5973.739831813804,0.027026237103763874,38.55592522809533,99.44994253377894,15.123797407077088,8.353779233653828,47.706948722565805,3.907587208685184,-21.62889447440313,-6.833544250749209,27.956715199316697,3.970511379509221,-6.094085500893851,0.791739006658281,3.745628696378607,-4.335821733656372,-1.2355770239475972,3.9342673910680617,-1.5725579237699234,-8.15957087156506,-0.7520206543367073,0.519204339316407,-3.880638305774502,0.13875453489254921,5.039099738116941,0.8218348277864895,-3.207599857547528,-0.5015398006547632,2.2157522890044103,-0.06737818069719229,-1.6305162882348967,0.03110474107049467,0.9907170520121443,0.2544115123892922,0.6972203456029119,0.9356628427949718,-0.49713767735130804,-0.8567078701742953,0.18367234441128255,0.35085195039362504,-0.46332195851936436,-0.28921175677172767,1.6011653582590586,0.16825242393289366,-2.039313127824211,-0.4211620513155948,1.2105608072604248,0.05741436263875443,-0.9121523908347859,0.11644788421705668,0.7343738691799196,0.15954587425385267,-0.2755264469049919,-0.21273257818299118,-0.20624696547390778,-0.2863100272502476,-0.031188671154622236,0.24088339666936925,0.02116271052865726,-0.2956890093062046,0.025851808263477088,0.5546593078850492
1,0.5,1.0,0.042984437,0.09216666666666666,6294.124736943029,0.026623372109051333,30.84613823366049,95.67042334615644,21.26072079335302,12.953724177918057,43.98581749174186,2.832301198757741,-15.834074556905817,-3.6918846399665393,24.96393442706853,4.040110372012915,-0.924308487830154,0.18307082894616822,4.01829933705295,0.26068173009272855,1.4777752207305501,2.5126644753526737,0.8738572182722086,-3.312529387968317,1.2011464836469874,-0.27676040505060107,-3.880638305774502,0.13875453489254921,5.039099738116941,0.8218348277864895,-3.207599857547528,-0.5015398006547632,2.2157522890044103,-0.06737818069719229,-1.6305162882348967,0.03110474107049467,0.9907170520121443,0.2544115123892922,0.6972203456029119,0.9356628427949718,-0.49713767735130804,-0.8567078701742953,0.18367234441128255,0.35085195039362504,-0.46332195851936436,-0.28921175677172767,1.6011653582590586,0.16825242393289366,-2.039313127824211,-0.4211620513155948,1.2105608072604248,0.05741436263875443,-0.9121523908347859,0.11644788421705668,0.7343738691799196,0.15954587425385267,-0.2755264469049919,-0.21273257818299118,-0.20624696547390778,-0.2863100272502476,-0.031188671154622236,0.24088339666936925,0.02116271052865726,-0.2956890093062046,0.025851808263477088,0.5546593078850492
2,1.0,1.5,0.045136355,0.09025,6544.878293477957,0.02200105507314784,22.84260645127609,93.85889334698388,38.6820565708532,22.93744971352366,31.150288918937747,-3.0624355402743797,-2.5058905143319326,-1.6650154408528293,16.626546144642226,2.3927662572373536,0.5128636377299387,0.3422536986196837,1.901356452940062,0.17592575358674467,-1.3722492416500383,-4.736095678793158,-4.15127341785099,-1.597895390060396,-1.2372255293088064,-8.485051655043705,-3.8806383057745073,0.13875453489253767,5.039099738116944,0.8218348277864882,-3.2075998575475335,-0.5015398006547634,2.215752289004413,-0.06737818069719188,-1.6305162882348976,0.03110474107049458,0.9907170520121449,0.2544115123892924,0.697220345602912,0.9356628427949724,-0.4971376773513084,-0.8567078701742957,0.18367234441128266,0.3508519503936251,-0.4633219585193647,-0.2892117567717276,1.6011653582590604,0.16825242393289372,-2.0393131278242134,-0.42116205131559514,1.2105608072604257,0.057414362638754525,-0.9121523908347868,0.11644788421705678,0.7343738691799202,0.15954587425385275,-0.275526446904992,-0.21273257818299127,-0.2062469654739079,-0.28631002725024773,-0.031188671154622226,0.24088339666936937,0.02116271052865726,-0.2956890093062048,0.025851808263477112,0.5546593078850496
3,1.5,2.0,0.039090518,0.10541666666666667,6651.497610651831,0.02428363185418744,15.462060498528928,98.48515763906292,45.10846420960872,12.391159720019507,23.166771055275255,-1.0404124959658196,-6.988903899913186,-6.799318593569876,14.164788408808628,0.6102562631643051,1.6505650474404088,2.5230466171997183,4.544514462694432,-1.2669350265129684,-2.3114039475829964,1.6298160181047,2.0625467933689725,-2.9853275924483738,-1.0851525911010802,-2.763557033773422,-0.19052683401620987,0.773609174099476,0.6576669515484326,-0.0633533928283578,-0.5986831869868772,-0.5736200908301445,0.6737066602766929,0.34320470275311404,-0.7666896571357811,0.5560705373383915,1.0003522379782632,-0.40004971542446766,-0.5598261470303308,0.22288011034872635,-0.7678537866158369,-0.803355516518237,-0.1800452621742456,-0.2537441626021079,-0.3894769812635706,1.1576547867879297,1.7963691131614243,-0.11490725901474763,-2.1575996073522727,-0.03305840408382604,1.0507358060380925,-0.2925681914510191,-0.5908065480254239,0.4585893179640923,0.6618878794419878,-0.05262356480332593,-0.2907820301477154,-0.107235724989768,-0.37920016994859435,-0.3856856391086396,0.17083554127000422,0.1340947122164375,-0.10649728941762142,-0.07665576757771707,0.01061490928721228,0.09581499006815758
4,2.0,2.5,0.043887164,0.09191666666666666,6294.740307720439,0.02241165024206848,26.844772566788592,98.73634806178839,28.395424389533943,12.744235601535543,42.07847265306145,3.3362450527731484,-14.972718357877387,-5.6167181774334995,25.203706767272166,5.840962139285999,-2.4279370084684104,0.893808674477967,6.968622861572425,1.1063008586213348,-1.8266758265473646,0.09215226882057226,-1.2485409892618928,-6.568912017356908,-1.9254809095594956,0.3165438698191798,2.280132749641648,0.6625893349535539,-2.966749507719863,-0.8413813184840612,1.5407458434742705,-0.17842784237330017,-1.573986850805662,0.3095697986629381,1.609439742115144,0.5663512142058095,-0.39173277549587426,-0.48202076461878357,0.29450876454999453,-0.1394959272331432,-0.5177229784921547,0.32103293634452157,0.4713447003473329,-0.8252950396395314,-0.37098540582987577,1.7606515108736898,1.026152797611702,-0.26207363648541165,-1.2080276395784684,-0.024509172507824056,0.4134191428957547,-0.20438318350566922,-0.435794570933454,0.2783526219240179,0.47400750632004035,-0.20170678953162063,-0.25275025435901616,0.13605717561193176,-0.23156156078921977,-0.4414532859656489,0.2179309554767534,0.15927818191313747,-0.13407300638253883,0.09436544548183959,0.16681932301030306,-0.432315156897837
5,2.5,3.0,0.041322384,0.09508333333333334,6418.16105023863,0.02432641867729163,27.89242100582319,97.09974185925157,29.69237164175481,17.733564269770326,35.528309689745626,-3.2351395519167445,-6.232127333749627,-9.757910635288525e-06,16.84190583007466,5.0963651176805485,5.547853025160334,-2.0929552361053108,-1.3144646024148836,0.9098947293190645,-2.1342804198999694,-3.918237081045374,-1.477735306893567,-2.0957418873306,-0.4021107325455199,1.110715766457601,2.0208217323245363,-0.6976991602116968,-1.7459736757260111,1.488150880502634,-0.3280936778679715,-2.1259367370505893,1.1565891187823303,2.0370944194432026,0.05894509380001964,-0.4996363195137922,0.2280318150275779,0.08644902594449053,-0.9974247136136001,-0.45518596773416714,0.3673326795691357,-0.7751047123515168,-0.4926502806448492,0.5556466075216182,-0.4564156884280475,-0.8350684402536486,0.2103269913230342,-0.2553655230018748,-0.3891687006964321,-0.16050756078359638,0.3220922186300376,0.5308179537124014,-0.6006533266796028,-0.5462710047668852,0.5794132815066007,0.13755106260047717,-0.4407876001508255,0.21265221932504064,0.24600041343973142,-0.23719349326994998,0.19420489568489577,0.30324855551159535,-0.04059481849463445,0.017191856976910398,0.3020864887586722,-0.4613067591557963
6,3.0,3.5,0.042641506,0.09291666666666666,6319.296618619759,0.02410748168028281,28.02808994583719,97.86454791165733,31.55635531618085,16.059340846227947,32.67324881907391,-2.8572112241654173,-10.754213051442019,-3.5168208653677606,23.335186144584927,2.981467901008278,-3.3944442286093945,0.24015080217828177,6.303389808244692,-1.6099687604949873,-4.049425897952323,-0.35690444749551475,-0.024408865983056693,-6.169163440816938,-3.4336734877359643,-1.6189305007907726,0.14445139911362598,-0.43595948037893334,0.20078185386182718,-0.07646317141812793,-1.275798897628214,-0.7472973950728866,-0.20466179491567446,0.4774400705778523,0.32670386789740247,-0.44957577816151617,0.1131259916924073,0.6914480197644717,-0.24178817505155145,-0.9325705479918242,0.02492386693997161,-0.07444236269196891,-0.33039017826610917,0.4179837927409596,0.40424401011438854,-1.4544259277401221,0.1795481641469212,0.037529920471402294,-0.5474859771877676,-0.5006616662014153,0.8885991729975288,0.9479072347633314,-0.8067913554675848,-0.8423930955111983,0.41780439479870224,0.44297882566750185,-0.0740461787414524,0.1113920699821397,0.025319992406906713,-0.23417357300230354,-0.06405997272040248,0.24149899995112312,-0.020692607436239536,-0.09037064307802183,0.42502062461254614,0.09888097100765972
7,3.5,4.0,0.040490452,0.0945,6619.1920864848125,0.02658081424371966,24.974510470627305,95.43256191306997,34.79813036765522,18.17436150018647,26.22891458292917,-8.573368042749477,-3.3152109592192227,2.3362048476132604,15.393774189152346,-0.45817821526579383,3.27397773264879,3.282120683072013,-0.10999257870969903,-2.1847300556256415,0.6366344859651603,-2.021179185494838,-1.0127706714946902,-0.40696884311026915,-2.613134744153082,-5.971162049736686,1.9289487978629714,0.046055966756346316,-2.8719422327245723,-1.2483502702793057,2.420050276714552,2.3649044540816537,-3.0142225010663126,-2.472085457038767,2.771744687506091,1.7517893465244398,-1.456015146370004,0.07647698900910724,0.9383243899690984,-0.5665500456216824,-0.06815273090742179,0.910624910557984,0.01784808465930325,-0.7894242939078016,0.7333407545576572,0.4586597103158556,0.6705231839884992,0.4518074984283197,-1.1358535445466198,-0.8054584334000373,1.5399757115665196,0.9985107349877776,-1.2921069800897216,-0.9367588397151314,0.4582757760837779,0.24474753557753948,-0.30229107817259426,0.025433378679358326,0.25542321223690295,-0.21424798361602987,-0.1755545722706686,0.5472520565030478,0.21335735794569452,-0.4913432862360795,0.09173751373446244,0.75355739130849
8,4.0,4.5,0.043505974,0.093125,6304.908062934817,0.02526030377257066,29.025984829954666,97.39014063298453,26.846454295892876,12.141521129236832,40.34917571832862,2.2688723228250836,-17.45448551972096,-4.3976251273061875,27.561291927220335,6.370354914951591,-0.7253694037506025,1.6635108137116619,5.157445974462076,-2.00923948886543,-3.087513944780072,-1.22858849241454,-3.132974198291876,-5.323379575762277,1.2012511468162266,-3.4146468607842824,3.223810037607036,0.4783613738265437,-5.141195115159419,-1.9764390741001665,4.60966973117065,2.3156877358772325,-3.522537818219262,-1.6478057406520665,2.3420619192556185,1.6555325095242013,0.08005981149565487,0.07992560375960629,-0.5467658252068212,-1.2546817533009025,-0.6202801368558881,0.6856631246453861,0.11263248051405898,-0.6046128043149304,1.1592394957400012,1.608192290627236,0.18501190734247494,0.2106437218576823,-0.4218874026189284,-0.03674753303182797,0.6790563079801885,-0.18259627293590122,-0.11083285929045165,0.12253262402697018,-0.532599765943734,-0.6223400136499286,-0.14822696631026686,0.013120243897719213,-0.0020699017091609694,0.051055886978269106,0.06705358194270994,0.15120844425871863,0.20347600842352304,-0.07228248725544195,-0.42231322869739796,0.3887300305969254
9,4.5,5.0,0.04245916,0.098,6040.2444869683695,0.029642837635155524,37.038217553079306,97.5672253323697,17.687610988275946,13.45072277686936,43.79059762369103,6.026340944996266,-17.95310360494171,-11.920034912135252,28.5875763762874,12.160868343331085,-3.066760119119077,-2.4222502968264648,3.9501292643219132,-1.7232201346041247,-2.956000051023204,1.0707294942040564,0.16578778255735876,-6.4657552893969354,0.9471307229666681,4.3018724980336325,3.833758333020325,1.1041779048271618,-4.754252913948483,-1.5891533351565308,4.4290505655651895,1.3351243724132362,-3.64500777001448,-1.5840768735174926,1.3426449485397998,-0.3284527854689542,-1.2668904857370162,0.5193771273437148,0.4321801726485488,-1.3653702831597767,-0.18783817988627682,1.5811028264950429,0.3526251796935387,-1.389771525130833,-0.37522586256854185,1.4014094071051204,-1.1852267588498722,-0.16049866234897897,1.3623827055278657,0.6580534111306149,-0.6982070886643988,-0.9924919458297876,0.9288345844197466,1.0318881633375088,-1.183780707671122,-1.1669398952844423,0.28072591985736806,0.14538127221169378,-0.16015403586426838,0.2500198601737064,0.21382220784819286,-0.2784116000845219,-0.011022192421497814,0.37656993039090614,-0.4652070385680866,-0.4314658603016642
