segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,0.08494207,0.042208333333333334,2680.818897160988,0.00017707237877821535,90.25070793275982,174.7356326340086,-43.19753661271973,35.506267508358825,-5.405896645638678,44.04261073221859,-28.20547592087187,15.71139965998064,-13.633343201786094,9.891461485422738,-0.37470116905545203,4.019338527706915,5.633524713066649,-2.01618619210645,12.4307162190171,0.37970092341640427,6.009312640086999,-13.045497724003635,9.313548833632332,-1.5845795093772916,5.80093228942472,-2.7758326751072855,-0.07117929594529683,2.9753176569761135,-2.1475169419248585,1.1164260521623304,-0.1453220700080878,0.6673337916252102,-0.1920207698126997,0.43629310813166144,-0.8851801665647545,-0.7147327289070223,0.01884303747386406,0.5644921852338344,-0.27913469987372497,-1.0749453717986983,1.0776464243031252,1.3805926339542223,0.05810209932671247,-1.2187448908685363,-1.169756083207839,0.982770738569316,0.04301156543150382,-0.8241971086620934,0.7212553189424554,-0.22212235162503785,-0.11214561924605608,-0.20979295644087723,-0.052214035997244855,0.04693695521608525,0.33327753345999883,-0.0926173552995034,-0.02140750233628375,-0.019369470603759733,-0.004849053151683879,0.2308110534931045,-0.2609450079049361,-0.3058416889020502,-0.10911083567137789,0.2514961332335027
1,0.5,1.0,0.10229224,0.042833333333333334,2939.8957809210247,0.0002177893580801076,99.03480069870189,170.33795340446792,-39.477143112216595,41.16583747785917,-14.430323743615286,45.05068322692216,-26.634606520945916,19.270656717476207,-12.491050671879716,8.47898059763999,1.726966614738259,5.31825835126668,0.15662921926310852,-3.347706735805429,14.068973352251366,-1.0261306488150301,7.857050659281322,-12.73582704471793,10.963154356269476,-1.5833048539846617,5.80093228942472,-2.7758326751072855,-0.07117929594529683,2.9753176569761135,-2.1475169419248585,1.1164260521623304,-0.1453220700080878,0.6673337916252102,-0.1920207698126997,0.43629310813166144,-0.8851801665647545,-0.7147327289070223,0.01884303747386406,0.5644921852338344,-0.27913469987372497,-1.0749453717986983,1.0776464243031252,1.3805926339542223,0.05810209932671247,-1.2187448908685363,-1.169756083207839,0.982770738569316,0.04301156543150382,-0.8241971086620934,0.7212553189424554,-0.22212235162503785,-0.11214561924605608,-0.20979295644087723,-0.052214035997244855,0.04693695521608525,0.33327753345999883,-0.0926173552995034,-0.02140750233628375,-0.019369470603759733,-0.004849053151683879,0.2308110534931045,-0.2609450079049361,-0.3058416889020502,-0.10911083567137789,0.2514961332335027
2,1.0,1.5,0.104352616,0.049916666666666665,3223.4467061274872,0.00030333397332819824,110.96517575702737,163.7560195854856,-43.041535808087474,45.53346430908573,-17.97651393555141,46.17724699545248,-26.716709816029752,20.242724025041433,-15.84774625197133,7.651203531809387,-4.548381664802439,3.195641647839677,6.092498122613381,-0.581311084378903,14.442755477516082,-1.9971832158530938,9.322153280261642,-8.547178148852506,10.65212265255693,-4.846403682047097,5.800932289424718,-2.775832675107285,-0.07117929594529177,2.9753176569761117,-2.147516941924859,1.1164260521623293,-0.14532207000808642,0.6673337916252118,-0.19202076981269742,0.436293108131661,-0.8851801665647551,-0.7147327289070231,0.01884303747386397,0.5644921852338347,-0.27913469987372463,-1.074945371798699,1.0776464243031247,1.380592633954225,0.058102099326711454,-1.218744890868537,-1.1697560832078404,0.9827707385693167,0.043011565431503855,-0.8241971086620947,0.7212553189424559,-0.22212235162503827,-0.11214561924605615,-0.20979295644087748,-0.05221403599724489,0.046936955216085256,0.33327753345999916,-0.0926173552995034,-0.02140750233628378,-0.01936947060375983,-0.004849053151683853,0.2308110534931046,-0.2609450079049364,-0.30584168890205066,-0.10911083567137796,0.25149613323350284
3,1.5,2.0,0.10825769,0.052833333333333336,3204.440548259526,0.0002769306951605091,113.27348936664954,165.09292076526611,-42.85859398687019,46.34802693532236,-15.952391357774143,47.06177440583721,-29.19167744359662,18.951532451128138,-11.24202414245112,13.1868469926013,-2.7269199238487474,2.1278722233033833,3.502618187526923,-1.447631247664563,12.148480839383012,-3.185615384796934,10.874171578460427,-7.743106134206836,10.51479959009247,-6.2427318882812175,3.3494082355955763,-0.5733008397558386,-0.3389949549837451,0.8385915688897329,-0.020216583119428054,0.8716719039133687,-0.5444686790055201,-0.007294260200573382,-0.6531603732900509,0.7240543557515136,-0.6054206137427394,-1.3321953662658654,0.5455266554871034,0.6867886760004058,-0.4518660447371103,-0.5051451380551524,0.5208495418589051,1.0204419384085972,-0.3029886902009305,-0.8993115278821089,-1.3261197696946059,1.131521370148557,0.150353689482934,-0.8685308079639653,0.6329782609565172,-0.43057773322697596,-0.09529637561735091,-0.14329475549940085,-0.12187686724531895,-0.14071365184154436,0.34489175930105254,-0.014137473117084649,-0.08905749977048476,-0.02418091875691761,0.1398275685100126,0.25595805550564654,-0.35891134048455636,-0.4972607185776092,-0.08833013639029211,0.42229296043047754
4,2.0,2.5,0.11290512,0.050125,3237.1795632596745,0.00025678995050460536,112.13602504590958,163.4789855780731,-41.862707655119394,47.79176106450778,-15.382447548183539,48.61919540357271,-27.65355080958695,19.207630751280732,-15.217960315563879,9.718993828600388,-2.573658732585722,2.04086794715345,4.054745416304062,-0.14376301000771136,11.995288976082655,-3.915283567586135,9.888984302013068,-8.638895009488062,9.828236713354393,-5.348590446571695,1.1779139003000945,1.0367551000635717,0.27778636073144647,-0.07730484229116696,0.3951094733847033,0.12819136816162058,-0.5064768617396521,-0.04431696466628475,-0.22252114806024834,0.5270972604021615,0.6413277243242325,-0.8690881867251176,-0.35153628321417446,0.4064965868317496,-0.21701429320045157,-0.20579022120494903,0.05131982600055409,0.03145953721678245,-0.30690668426635553,-0.1209809061942367,-0.9635662893384597,0.8739628883926315,0.08541530047289338,-0.6050898441444398,0.3692100005962447,-0.40231780446953547,-0.03957648290745589,-0.14505604081549253,0.02101938325121113,-0.1398687208762422,0.2592481953905675,0.20731657046060536,-0.04993313427343457,-0.07669708142332828,0.1495235523667919,0.15518184030253634,-0.31829906398699115,-0.48371309631414,-0.013409965022237735,0.3904048339937474
5,2.5,3.0,0.12131767,0.045,3142.8296665047314,0.0001638838839386322,115.19641723223866,167.609966209395,-41.76153196361936,44.22964694459681,-15.828439852896363,48.18806854242889,-28.888529419194917,19.75173205335369,-16.071745506533695,11.065357228002057,-2.287497920083795,-0.765331629719529,3.903138849853284,-0.1325373929889978,13.03337637928253,-2.59280616322427,10.177882857700133,-7.587758922357169,9.860153874866093,-5.828769111132905,1.4818426355140073,0.9754802880500666,0.5061063231310037,0.15897486678992898,-0.25393884479705553,-0.5423452719721937,-0.44122655222905927,0.3066853922739547,-0.7861549169155186,-0.31267722721131,0.07602468449601336,-0.7082423655833984,-0.24125480103454022,0.522585390650289,0.38894293933970103,-0.22973266956734142,-0.20374697896836982,-0.4311444105651008,-0.20104419082821434,0.3438379189467,-0.2868324460017626,0.01957801042233741,-0.050799924815955105,-0.05315525927283233,-0.1563621036867654,-0.19067465455386762,0.08281301278887071,0.01266479537513122,0.25509418022274843,-0.12911068633997472,0.033543665947424466,0.5031550325647683,0.01118736785911126,-0.2063959593807899,0.012262954036176053,-0.08609536528222106,-0.11922469398013959,-0.3101798388793851,0.08146627218834032,0.23831254276454877
6,3.0,3.5,0.11451259,0.051541666666666666,3122.0328873764784,0.00020887452553445616,115.89328132573328,167.68127236373903,-42.20113501605566,46.20613009299267,-16.062942321066785,46.255056767964746,-29.400668136928864,19.621039400597233,-14.545491310231284,11.347434716119816,-1.5614540450637544,0.2968026407255481,4.134556375379329,0.7936249224420611,12.915236241564067,-3.3225389326641706,9.926896770644559,-8.467554068693428,9.444912088838342,-5.658289601592436,1.9168836427732074,0.819591202952917,-0.06665343263819952,0.2896767873038169,-0.184605808104823,-0.18815438224256542,-0.3948255479335962,-0.21493623868951447,-0.02042658174390798,0.25531529523186236,0.07033816126870521,0.009873623054769458,0.16256809436751307,0.263108420792252,0.048078569921828664,-0.4367424045299233,-0.15155063521819248,-0.3121796731296244,-0.059919975470835274,0.11170455568579452,0.16292538957295533,-0.4463343583663578,-0.28606464107485213,0.014416067296918073,-0.23492054456753464,0.17428310594386395,0.06315730962591765,0.02705200339437088,0.2093072591846813,-0.04615228075118736,-0.1737629294390464,0.3726643779705994,0.15444452182202437,-0.24469677281045765,-0.03198481667135614,-0.040821118788230505,0.09653917984523443,0.017335024269618374,0.08752843207227379,0.011195327040392687
7,3.5,4.0,0.12167883,0.04795833333333333,3156.929223010644,0.0002727883516818713,118.80407440430773,167.8691788126835,-40.15884869074704,47.93571675502956,-16.881838195317798,45.53211736378023,-30.52425154107096,20.27825508783966,-15.509033229695008,10.809240412785037,-2.8528988451296646,-0.5413069513996552,2.256438702816589,0.6966017393619939,13.63322190334081,-4.630651050094623,9.836480449302833,-9.984498657429656,9.701240948209424,-4.368692716037348,1.5457611343502078,-0.36682883908882413,-0.4207746823786975,0.38932445772807944,-0.5121694608084914,0.07647150634612415,-0.18622927196419475,0.14133935368669756,0.5212632446655201,0.21439190663678984,-0.1522075024778535,0.744098891668031,0.3444113059918159,-0.2734970378837941,-0.5230977061173702,-0.8201458728037703,0.02616130256758078,-0.3586376508151239,-0.019150683656989225,0.17590845500061875,-0.02568950818331924,-0.4520001269536126,-0.3121424917290946,-0.15790316523262793,-0.12351329983123155,0.3202525890036727,0.06282588590982408,0.009937964639034827,0.22056712993230274,0.1097993426752547,-0.028036516703006695,0.19302019559609584,0.10800822948736427,-0.21188891355192074,0.008158308625521487,0.14980544769058235,0.13185441442200416,0.1722118213989641,0.08471172015036237,-0.06029813855997077
8,4.0,4.5,0.12367874,0.048541666666666664,3120.4675679072157,0.00021104175796074652,119.91661467374108,167.44733529119344,-42.99731645474655,47.38711009581049,-15.778777417496936,49.006399081684215,-28.80981748831691,17.869688040590177,-15.601449362702763,11.123628712368209,-1.9392674637192613,1.9782237232673603,5.690935961659974,0.7572095277780521,11.935759063662658,-5.080073146800574,9.301932330120756,-9.00142350759994,9.608093299328551,-5.5201058656905015,1.9605815987467705,-0.5237621281987707,-0.6890963418879629,-0.12039930127565186,-0.6503779414472514,0.6901985087217809,-0.3181889537424964,0.17361607159919812,0.1703060670726381,0.03280128972217495,-0.11337082938406548,0.26806307450216377,0.12785327238276886,-0.41894606295349623,0.07908194617130342,-0.11468921352788702,0.41906158445875064,0.0818812786898858,0.03978872250940056,0.018960460980767358,-0.13700590328780526,-0.20021138457075832,-0.007774759263624846,-0.174138647558526,-0.09460265206461375,0.10126765863109423,0.004061239289530521,0.09039827558172259,-0.07504972795192662,0.0026979476949112887,0.013509124993904062,-0.16871875294954275,-0.194318872911383,-0.10132467558519875,0.17974686231276682,0.2891708300471721,0.08632670607655799,0.15228587091188084,0.1226621956847643,0.03597731000320582
9,4.5,5.0,0.122143224,0.04745833333333333,3262.8931717575797,0.0002152932259301779,120.9135562299858,165.89279055022368,-43.4673146561674,45.5857792318283,-18.531369608723743,47.194754917299775,-30.11510110332187,21.33410450179071,-12.937450256970358,12.24921976306181,-2.859628723145309,2.1144522873497182,4.84700558667204,-1.4818148850759632,10.907626437646385,-5.814768420174917,10.621171590799939,-9.114012456979532,9.682809851336042,-5.018318704080779,1.3315461166106297,-0.6128436811421515,-0.7433846808895865,-0.4255029150834759,-0.6386192772819987,0.6197412275639954,-0.16541541977548896,0.1620990603247725,0.22131440833772134,0.34757648891980686,0.0276965963073653,0.12776388667338312,0.3161437573946529,-0.19583193523643994,0.41423279434257104,0.35826797338455174,0.170218983303179,0.23288422051996407,0.17266006093347935,0.08871927349935993,-0.1066930922537969,0.1576111538900687,0.15337754579287433,-0.0694157595924265,0.04943372760622162,0.01632888881678596,0.07354594337752487,-0.07810025545595027,-0.23108644105917947,-0.007591625870056707,0.07171907850823732,-0.26955638157675144,-0.25064195682059937,0.11034448196467687,0.2496054437511907,0.30151385291278704,-0.04647460310356527,0.07517298161453809,0.12316383934072336,-0.022085697794755856
