segment_index,start_time_sec,end_time_sec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,7.600786202950368,162.7022084874032,-7.044146204747165,36.09080926561857,1.6219458669261158,9.049682594818636,4.039983406128258,-5.176296521828974,-0.25237548692435036,-3.6672354934930036,1.924978035358404,-0.5374601629294639,-2.4192912186565234,-3.4537776474656177,-0.5999982607431378,-0.46824647198523817,0.6243673184319274,2.7398503712823876,2.890055366916097,3.1523377687141245,-5.633600779966077,-4.03349515839912,-0.6093795406061482,1.0731432816966162,1.3701803847365503,-0.6703326286268708,-0.29586091072047166,0.9078923092885169,0.7614423912383095,-0.09729005704040714,1.2091688007606924,2.0925689898061814,2.337463988726372,2.1846553265345974,1.4923270491575849,1.176099730046467,0.7466454213171952,-0.16000134682738865,-1.3442876240034778,-1.9393137315628035,4.021136264747891,-0.6530789526159834,-0.712839972606703,0.7600958713867282,-1.0534158120478392,0.07015533747487415,-0.4042807774743888,0.48236676729632894,-0.859141841034317,0.10567983381111681,-0.4582588464721044,-1.5179313056245587,-0.726352015152982,-0.9052956952108022,-0.9691449287858507,-0.9569889170249715,-0.6892655511305035,-0.7849781343088905,-0.10936270807707754,0.9244191392203783
1,0.5,1.0,6.021577310199235,163.79923221485313,-3.764026603337267,36.92589676178468,6.254874391343129,16.915065963467097,7.4990504975627825,-4.415716430544434,0.459618588761292,1.8789782294406012,11.34746736304254,3.334035173490241,-3.4534657427017805,-4.71989967940284,0.5617822859533415,5.909775643460465,7.471555983181176,5.820790491080748,3.781924124099882,8.508797327818767,-5.633600779966077,-4.03349515839912,-0.6093795406061482,1.0731432816966162,1.3701803847365503,-0.6703326286268708,-0.29586091072047166,0.9078923092885169,0.7614423912383095,-0.09729005704040714,1.2091688007606924,2.0925689898061814,2.337463988726372,2.1846553265345974,1.4923270491575849,1.176099730046467,0.7466454213171952,-0.16000134682738865,-1.3442876240034778,-1.9393137315628035,4.021136264747891,-0.6530789526159834,-0.712839972606703,0.7600958713867282,-1.0534158120478392,0.07015533747487415,-0.4042807774743888,0.48236676729632894,-0.859141841034317,0.10567983381111681,-0.4582588464721044,-1.5179313056245587,-0.726352015152982,-0.9052956952108022,-0.9691449287858507,-0.9569889170249715,-0.6892655511305035,-0.7849781343088905,-0.10936270807707754,0.9244191392203783
2,1.0,1.5,13.993451979694655,150.8075430860904,-6.542463277239419,48.51321098490189,-8.325624802260501,11.35679544283159,10.681527967292984,-5.462286629338635,3.1840881036428694,-3.370766982849945,5.397214825099519,18.390913237119875,11.793414767665622,6.49027341948864,10.746372464654456,-0.08490249789581625,4.626558152543145,10.485155268239758,-0.441492469730516,-8.995797706170482,-5.633600779966081,-4.033495158399141,-0.6093795406061484,1.0731432816966113,1.3701803847365508,-0.6703326286268714,-0.2958609107204723,0.9078923092885179,0.7614423912383098,-0.09729005704040737,1.2091688007606924,2.0925689898061828,2.337463988726373,2.1846553265345987,1.492327049157585,1.176099730046467,0.7466454213171946,-0.1600013468273897,-1.3442876240034785,-1.9393137315628055,4.021136264747895,-0.6530789526159836,-0.7128399726067034,0.7600958713867285,-1.05341581204784,0.07015533747487429,-0.404280777474389,0.4823667672963292,-0.8591418410343175,0.10567983381111684,-0.45825884647210485,-1.51793130562456,-0.7263520151529829,-0.9052956952108028,-0.9691449287858515,-0.9569889170249725,-0.689265551130504,-0.784978134308891,-0.10936270807707747,0.9244191392203789
3,1.5,2.0,-14.753759730912494,156.63328128390464,-3.306820602144938,36.002674881587254,10.582487555896023,11.114553877863631,0.8625718023697828,-6.186863679171283,3.2914945585132,-2.3389907751644388,6.688234310181626,7.867591294817702,5.416695946751082,4.951143517428646,7.844310117475326,9.053187774091601,6.6369505500975166,4.585377594509959,-0.2759990979033894,-2.459029947859801,6.303164351488295,-11.366406738598792,-3.3294654260376095,6.847071005017955,-3.024418498480659,-1.894857616597597,-0.6459356818096946,3.5982288366378814,-3.048014050459958,0.8823343018744689,-0.34727938791541896,-2.1409597813828087,1.112219456085768,0.6481433550867285,-0.2841000202659785,-2.1574818001110994,-0.23615489804577458,-1.7077293711202848,-2.5893120570918566,-0.506521496524128,4.221881288384639,1.0665397793140943,-0.46121803365998476,0.21308651369594614,-1.2102952514327112,0.11885031158835205,0.061634153671563226,-0.24179671248298254,-0.6473733154373512,-0.24668474389263984,-0.8524003219107983,-1.2334205079566236,-0.7682843660898462,-0.9412539353378939,-0.8409185519431018,-0.8315382288058969,-0.7048894897329854,-0.5069193307656111,0.10817858497813601,0.8630182974161783
4,2.0,2.5,-10.179549176324159,146.11770816088176,-10.31964690837407,41.918136614200336,6.3090412083324185,8.598275494486014,5.878918200122397,0.24873864892703773,2.138898484391243,-2.0447012763925203,10.30043856559232,7.658606725437713,4.832947880248904,2.633977386791626,3.2203730692837915,3.8405461129315266,4.774897141559728,2.557550085430835,-1.8024211420996554,-1.0603172512606138,8.503697978046198,-3.6324341313792,-2.8135364609239324,1.9866587769695876,-1.6995992338940418,0.29270655273286356,-2.142227412547804,1.9745578820954794,-1.6295385930841417,-0.05870306744226128,-0.30390133726177465,-3.3803231527221183,-0.6816738207182378,-1.5735671637954796,-2.4651840600598875,-1.9420540899996086,-2.2082821746538377,-3.3110280062253934,-1.2685889478446755,1.9663858470197504,1.1797326093996603,3.855517185625645,0.30940583608044037,-1.7904808806101093,-0.10305376392639846,-0.009583100559492543,0.14385099855726197,-1.3736859182471604,0.09369942500064013,-0.511207749635323,-0.80164558761882,-0.07675620140689636,-0.5084009855876716,-0.7682940955488741,-0.4177395489083058,0.20488724113363924,-0.5140720041041827,-0.23327661600242497,0.4865686204943906,0.4275962730617441
5,2.5,3.0,49.6238996456501,109.31211598446353,-18.52276191795798,74.45878897222521,-16.184551106356615,8.820037854651906,6.670676972099605,10.719915113512126,-14.257856853912676,5.627616885584231,7.1594585532190465,-2.004610477582715,5.587864981435416,0.4489651123793076,2.9042818823087826,-6.840357662508695,6.216611998444013,1.245946226883792,-8.484171825174824,2.0084496177431945,8.407156282950966,1.0986732246613764,-1.8133912487471788,1.6818181025398584,-3.146406063111706,-0.5576006613649785,0.9354931085510102,-0.8344240395298758,-1.2799336937872188,-1.3500072713026785,-2.296297739782063,-1.3380874787127828,0.005611062999448847,-0.6425031049898297,-0.7335101559491857,-1.422514503959977,-1.3003382293622132,-1.1190846709564408,-0.8412440371921996,0.42292796622680756,-5.626546627179199,5.593047179060684,1.7541860480910318,-4.020100344824269,1.8807629327981183,0.08355975106125153,0.3941473996424521,-2.0827484623144845,1.3188055259350773,-0.39738169812431556,0.014402103037231651,1.2388400398641044,-0.27992667225426804,-0.10327833347089657,0.22942966352744357,1.4655508095467904,0.03462283556777352,0.48528223924592256,1.0273830614153914,-0.23920944449808332
6,3.0,3.5,24.32311218164432,156.30595507891496,-13.002174923952552,39.21844782443085,-3.440101640604386,13.96758621810177,-2.9336616803109403,-4.042886615202949,3.811070844435103,-7.647586150435586,3.642096017271937,6.4253983597095035,8.299461146732268,0.8735268030359152,0.8904662819382969,-1.8484002295937059,-6.204683444899285,-4.400269079074115,-2.680350845318172,-1.397608253873234,-0.7869336986991188,9.011550788098987,0.17961255115083682,-5.296634670114882,0.9159053474200822,-1.3868766090406432,-0.36732031311451546,-3.7442108438634008,0.3458993379051403,-1.5371580186284473,-1.8245499614000835,1.307351831436688,0.3487632573311763,-1.0114919211714901,-0.3716656275423391,1.8330522876391013,-1.2916229335454985,-1.620706776921436,0.21452146851864445,-0.266057097629554,-5.842622945948675,2.028963878070848,1.5072945397593698,-1.8249999074707581,1.88396521243393,-0.31811400479554947,0.6602311168227211,-0.8184547283084618,0.5146346323375784,0.4598118210526871,0.4276687853082428,0.6477214728391902,-0.2979114515660649,0.44036294183500235,0.5901714704333302,1.1918794103587758,0.9051002023237775,0.8973774527557368,0.475466116340471,-0.5732915922298574
7,3.5,4.0,10.030691004858076,157.03252394819492,-11.032512838091586,45.76160978917129,-0.2749713351940958,5.641895209230863,9.9463272853415,-8.213171244755666,-3.9442600904448213,-6.287584694656293,-1.4640831145684912,1.7937580841178975,3.711494628506644,2.618853284357355,5.341712731402147,4.785088425554337,5.62504969651596,2.468863821980233,-4.043254432255127,-0.1757446154194543,-17.184252946035024,10.276836696965516,3.9448903083801596,-9.611783995561142,5.071643874852866,-0.6372672804045864,0.43734776668592035,-3.956129111955095,2.5582946137207823,-0.36534671315401496,0.48505543933989353,1.709402925858306,-0.8026324442102784,-0.1492859335797488,-0.18371091888753566,3.282719058803493,-0.5213703407610768,-0.12647878954265207,1.8060480418034375,-0.5863472466898917,-2.7217655426525287,-0.2064921966105368,0.2272314389861462,-0.9012601872464115,1.9052300351912599,0.37139935981550604,-0.4504527141635418,0.6487844079446062,0.5252199294627049,0.9275912705121605,0.7139996941266131,-0.24115901493041558,-0.12443045857222011,0.5774444002790955,0.10763686256316694,-0.0328497695254034,0.39574197997728056,0.6079992056526308,0.11430783848681182,-0.42803460457012094
8,4.0,4.5,5.682386650576263,167.315258119511,-13.166708692553083,29.783552855152905,2.9337780598515666,3.2529637719933246,2.4044914779288735,-9.005772391256059,-1.2884032078169838,-3.7728905794144905,5.489459592485677,12.296181601770844,7.514949343369171,-3.5084263050548454,0.1433295070254148,7.193084507095511,-1.387436375203736,-6.157442596724561,-2.9502724959662827,-1.2985056228270586,-7.913712137204167,1.923303522822965,1.8437954593092425,-1.491539711333697,3.6112018592933164,-1.2580301617250789,1.4080008424983446,-0.5568632232342174,-0.9754795851502518,1.748025758746841,0.4437659997184598,-1.6654609908117135,-1.7671093249436978,0.38163895967449035,0.2107736735759363,1.664726180412532,1.9277348926644788,0.6795563168463935,-0.21490440564014024,-0.39543450767118465,1.760604427658217,-1.9740461738432649,-1.0292852390223597,0.6198828131680102,0.4669348531244536,0.9828633305404956,-0.35057978935820516,1.2756599471152614,0.19165002700261952,0.9992885904770781,0.311491294954212,-1.0279825670110343,-0.05624803246024389,0.7443338559385764,0.019554423191895456,-1.4193444904942607,0.14020840923800973,1.0678615364316812,0.18145050526940779,-0.19335163128354557
9,4.5,5.0,-26.977002318990937,155.19164794899308,1.2839565082430713,31.117316479058495,5.986728417679723,10.9910126756832,6.1883392264092985,-6.579287558236784,1.0833532408172695,1.863535534303609,8.661053962311643,3.6070125306781406,1.966958662065576,1.8935119985259445,2.3592956753275462,5.052495263164153,1.201136759790857,1.492139037995755,0.681029209166412,-0.9728379312293498,-1.638282211059146,3.6103358742467044,-1.5093255078956511,-4.72703031308279,5.032095856907971,1.2349729140547683,-2.204431040073128,0.8158241898785616,2.006855415054001,1.6453571925704766,0.1395427502917289,-1.0574761422406591,0.4413950612757857,1.548153455982656,-0.48654549369248895,-1.502600297973709,-0.9313072425808003,0.7707798104227962,-0.05499190767874848,-1.6525563516029804,4.970034328603439,-1.2173215394903607,-1.5649198391887844,0.6272848335483235,-0.9306018753420566,0.8508736562081467,-0.5321290129461657,1.0608262825099881,-0.15069679357856905,-0.10151911324650914,-0.0723044203048379,-0.1039079383851921,0.45876972552369627,-0.10171481301686033,-0.11405222626491368,-1.1724591416590422,-0.42722817987859235,0.3111076361042131,-0.2921528104077688,-0.1275611715941603
