audiofile,chunk_index,start_time_sec,end_time_sec,centroid,rms
recording.wav,0,0.0,0.5,0.2769327467001886,0.06124381390791345
recording.wav,1,0.5,1.0,0.0862350722815839,1.0
recording.wav,2,1.0,1.5,0.29905719673161535,0.05589055905651912
recording.wav,3,1.5,2.0,0.23984915147705846,0.02758163218098418
recording.wav,4,2.0,2.5,0.187806411062225,0.021367620507337853
recording.wav,5,2.5,3.0,0.17096165933375235,0.021524216831416636
recording.wav,6,3.0,3.5,0.27064739157762413,0.022154812270791524
recording.wav,7,3.5,4.0,0.7768698931489629,0.2695624159893106
recording.wav,8,4.0,4.5,0.603519798868636,0.7702681727389741
recording.wav,9,4.5,5.0,0.7366436203645506,0.4936718341772556
recording.wav,10,5.0,5.5,0.7125078566939032,0.1268062642306813
recording.wav,11,5.5,6.0,0.8324324324324325,0.09977853269670028
recording.wav,12,6.0,6.5,0.6681332495285983,0.22999903718352527
recording.wav,13,6.5,7.0,0.6033940917661847,0.21520541787938693
recording.wav,14,7.0,7.5,0.7425518541797611,0.31602586012313577
recording.wav,15,7.5,8.0,0.8477686989314897,0.38421459303872546
recording.wav,16,8.0,8.5,0.8038969201759899,0.25224031245956335
recording.wav,17,8.5,9.0,0.6025141420490258,0.11293810327976789
recording.wav,18,9.0,9.5,0.6931489629164048,0.8653465263303433
recording.wav,19,9.5,10.0,0.7728472658705217,0.5443220240842407
recording.wav,20,10.0,10.5,0.23482086737900693,0.021233046462961567
recording.wav,21,10.5,11.0,0.18214959145191703,0.021824054701015533
recording.wav,22,11.0,11.5,0.540289126335638,0.17255718821093552
recording.wav,23,11.5,12.0,0.24412319296040227,0.035949308248631434
recording.wav,24,12.0,12.5,0.9517284726587052,0.027758458329814814
