segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,1.0,0.0027781578,0.04772916666666667,1593.433963057383,2.0390167042068884e-05,-270.5002237982819,107.71028937693329,10.754779983004315,26.909818351762276,21.141863909408983,-16.988677522753505,-9.366074365340664,-2.3833972493371167,-9.304124936503102,1.5753593341132208,-2.261477446813374,-18.77199067448322,-15.393199846951056,-11.555589677484832,-16.34177919108027,-20.42206965137342,-29.972165635239556,-26.585033172417145,2.0104196633285367,16.98547175866449,-22.176799347540058,-16.00683801376303,0.557982110175749,-3.527619583643329,-3.71185534080351,4.116477113395375,3.073459836849234,-0.8853534184952093,-0.43145224593118003,-0.671458099340323,-0.23954766238622097,2.1750998995101583,2.708660702604532,1.904046494770547,1.1309922312883094,1.7288633080844569,5.986617631138248,7.238548011099726,-0.9709589151537527,-6.931352221490813,13.127179340545972,8.895781740407665,-2.0360753009182737,-0.9385021670237147,-0.610862217208537,-2.208266969485554,0.33917802343640546,1.731676272829249,0.08653322509755272,-0.41170442123424744,0.7861077890573275,0.5926880242580094,-2.2417366321787693,-2.778893872357339,0.41395961090762495,0.6221460489785587,-2.5095186151852547,-2.6964136812920696,0.6207701676522817,2.587133092656832
1,1.0,2.0,0.008688468,0.06041666666666667,1941.9571108408463,3.3148856376771085e-06,-175.74008765382294,167.47554084067784,-39.14920013576604,-1.2806806225269272,82.69964042202798,24.85718401909108,-42.395117906203225,-23.983773104199745,6.87762290991215,6.833416793751564,-5.2783018767223036,-13.877725988320913,-15.838070723574376,-15.805341235090532,-7.5193766841876055,5.592127024073111,-6.911195721306909,-28.7645505863642,-11.11616897436814,14.572691912824553,-22.176799347540058,-16.00683801376303,0.557982110175749,-3.527619583643329,-3.71185534080351,4.116477113395375,3.073459836849234,-0.8853534184952093,-0.43145224593118003,-0.671458099340323,-0.23954766238622097,2.1750998995101583,2.708660702604532,1.904046494770547,1.1309922312883094,1.7288633080844569,5.986617631138248,7.238548011099726,-0.9709589151537527,-6.931352221490813,13.127179340545972,8.895781740407665,-2.0360753009182737,-0.9385021670237147,-0.610862217208537,-2.208266969485554,0.33917802343640546,1.731676272829249,0.08653322509755272,-0.41170442123424744,0.7861077890573275,0.5926880242580094,-2.2417366321787693,-2.778893872357339,0.41395961090762495,0.6221460489785587,-2.5095186151852547,-2.6964136812920696,0.6207701676522817,2.587133092656832
2,2.0,3.0,0.0009632834,0.0459375,2256.4176811886446,0.00028582736745707464,-321.29833642074493,82.11837416229884,22.69279087129616,13.456821330215478,14.16520200969655,-3.8861632249768334,-18.46110422163201,-19.154423941209753,-7.386231126582083,0.31348521236957133,-14.54178376483561,-21.026012818379122,3.4542547231886958,13.100480380070813,-9.916254886949936,-19.00450290824082,-3.109876637896324,6.119513050841405,0.6026704074688142,-7.773984420242998,-22.17679934754006,-16.00683801376304,0.5579821101757546,-3.5276195836433315,-3.7118553408035178,4.1164771133953755,3.0734598368492416,-0.8853534184952059,-0.4314522459311805,-0.671458099340324,-0.2395476623862202,2.1750998995101605,2.708660702604534,1.9040464947705484,1.1309922312883107,1.7288633080844593,5.986617631138254,7.238548011099733,-0.9709589151537527,-6.931352221490818,13.12717934054598,8.89578174040767,-2.036075300918275,-0.9385021670237155,-0.610862217208537,-2.208266969485556,0.3391780234364055,1.7316762728292503,0.08653322509755285,-0.4117044212342477,0.7861077890573281,0.5926880242580096,-2.2417366321787706,-2.7788938723573406,0.4139596109076251,0.6221460489785589,-2.5095186151852555,-2.696413681292072,0.620770167652282,2.5871330926568334
3,3.0,4.0,0.00488105,0.06291666666666666,2449.5300987240803,5.030390690709953e-06,-210.88866538487116,115.51732389819361,-70.84922902158189,-1.273545062130468,84.1260695302986,28.088056181072012,-31.83029676624834,-30.0676601250363,-1.8569450340620461,16.164204511891576,-4.119146760723552,-23.005019564047196,-9.96838836214631,-7.23380450675875,-15.957175015320704,-6.621555454983273,3.127907765051191,0.46607687167029255,-6.678657715329777,-11.372568567005349,-6.502447339075833,-7.806306572565114,-1.4736345119358287,-1.6656397758537167,-9.280797704241344,-2.9254293449313953,5.608274822655814,2.410509574129017,1.6229260864216644,1.0311781115907956,0.5726460856389902,4.426460034204578,-2.8553596516869955,-9.54116774042119,1.1452574869549552,5.264449096349036,-1.2392250301442258,0.5107274617081983,3.794709763037473,2.078423016665164,11.443492113055653,9.323073842957058,0.05923170146490008,-1.0686986835648917,-0.6211490922712072,-1.8158968107998152,-1.1043575866942745,-0.19337057423766574,-0.6614050914959059,-0.2572594737922025,0.20920276901488874,-1.1821007978137956,-2.0692555433270057,-0.5082205846859899,0.8250368068571964,-0.2645541795750214,-2.2286782503190548,-2.3190215671963132,0.7003272926338062,3.1880053960685237
4,4.0,5.0,0.00020130868,0.04429166666666667,2793.717138566447,0.0020961225501506565,-363.80993167045807,53.65520777936025,29.394704976791015,9.2681526533474,1.8693726512560982,1.978271963232893,0.7188142489280908,-3.768220831394866,-7.0941021941719065,-6.447325021658402,-4.038793316743851,-3.332844389069284,-4.7847375146424245,-6.321125567797987,-6.467918869072172,-5.670911871422938,-5.05862922272735,-5.007606845935744,-5.0631305419594055,-4.698659108874624,35.621921350957685,24.37180496767634,-8.606586083359831,-9.151120322656709,-3.981695245127276,-3.4039045048690126,3.5019424611279706,6.1250964493389235,-1.0259752866198384,-3.5812983109771195,3.2848944088878116,4.0128599534529945,-5.71801228114355,-6.267815749420279,3.193657657993111,3.07180065884496,-2.9480541141467853,-2.87961012066486,-0.24994241598795738,1.4994256227153577,11.87804586474686,8.249949125341898,-2.576126929911931,-1.266484834216904,2.8635196984140396,1.3146572957442155,-2.2129607622390037,-3.252681556554107,-1.06753139802011,1.0384107745666644,-0.5310160235059328,-2.9021549030153455,-1.1639375448462757,1.7380916560647046,0.549525559176219,-1.4051404609592124,-0.7057624270245008,-0.7104446633061909,-0.7242716063636182,1.488465336080161
5,5.0,6.0,0.007482944,0.07264583333333334,2411.6657513070345,5.090163711147261e-06,-186.99652672434553,142.6755911693216,-49.86832974819261,-7.514545163361467,42.44356658004152,7.297819700329251,-23.943703028204222,-19.624326788462113,14.846188875815379,15.369712468719527,-7.666566672573234,-0.5920100319529537,-25.995372863093785,-53.80037696326205,-3.517257258351716,25.247576987409335,-12.13294457961252,-20.647353329434637,10.690280315533322,23.427144340466178,6.141300868489299,10.419209710302539,5.436424714268042,-6.059362631961095,-6.6826808499976655,-1.2028161314715025,-2.6625694087614997,-5.357431223600602,-3.4412161830663783,-0.5028353624829367,-0.9557548529487937,-4.654284116530233,-3.424280522156449,3.448874693436013,4.224843552221889,-0.26537626517089935,-0.6894377478144976,0.7025192410004637,2.1701692984323793,4.793285836748708,-3.560863046803212,-1.299144073865563,2.040374530696467,1.5822845955558429,3.083453688548668,2.448963173729659,-1.6225570103118183,-2.2613382782624267,-0.024173036459127252,0.7854273451139522,-0.7906136402089357,-1.3029990829198348,3.025076270671251,4.839047825059252,-0.46646078853919437,-1.828141970372875,2.2179134779965617,1.2268044028935414,-2.127765001299491,-0.7995915033516585
6,6.0,7.0,0.003972923,0.049604166666666664,1558.43683645252,1.0239385084901463e-05,-155.13479899621944,190.3982653651165,-30.830589182197606,-29.178280232452536,15.097977259188719,-10.510567508950505,-4.8946887850142256,6.249391637197748,-20.867674514619985,-17.195760320929992,3.6563982355282785,-12.168217817161281,-17.122314432055298,5.044687861221086,-0.16792547546888437,-19.580065835212334,-10.219721036298388,2.2781775480695785,-9.331510687902522,-17.67671276040198,30.891555872411637,16.130149471512595,-15.777682152485825,-7.663182326674159,9.306684724144832,9.828456985386502,-3.855921858637112,-13.264790802400922,-3.237038101287706,5.287602510529862,-2.1304273106219904,-7.7953025401991525,-2.8265665863921137,4.099483558165464,2.3388269945359377,-2.53192631595163,2.182911854850888,3.5904288049226483,-3.780046714669295,-0.8464569511317904,-17.260660419621267,-10.93331867908563,6.220272264468964,5.421733795731109,0.93525517783749,1.3743952544852187,0.6121968918724321,0.5381076851983776,2.475259266153441,1.717137512160313,0.05412422994789094,2.0685769545684516,4.238617049858097,1.7969481249046722,-0.8850440604739525,0.778350106126525,2.315166027494235,0.7240562928483611,-0.5539929089440112,-0.2728661654139055
7,7.0,8.0,0.0033747759,0.05427083333333333,2033.231999801182,1.0539042388720389e-05,-284.519727379544,99.24184365682817,-13.554458370747401,-12.347141779035958,44.09836297634398,28.318395259806202,-42.33639229308467,-61.8636224773356,-12.176239789169886,19.02424534911269,-12.745516801603584,-41.85875343265235,-20.92100251422211,4.327662245911764,2.0170460489870825,-0.9938597989430697,2.261264932764223,0.3357808796699468,6.306378849803672,19.082887442501853,-21.941579833818857,-10.181199193811052,12.313786176109499,5.5018142039342175,-0.50771924613407,2.7032057785891346,1.1744219309792694,0.7987618086868125,2.6075923114599617,0.5238644264070632,-0.6727612556507849,3.815545866431482,10.824298854293533,9.470421731082178,-0.7596311240124283,-1.0743972681170373,7.28485937533974,3.4097300133821475,-5.079063094119308,-0.7465932131695522,-6.382034538415921,-4.608303121458404,2.5357751806590745,4.2492834299316256,0.24877317286807488,-2.471922238339321,2.222047673592532,7.022678591024776,3.736362397940968,-0.04875847362824799,1.9691029089570307,4.20687653167286,2.0805307771307895,-1.6285896588935682,-1.1414642457516677,1.6842099303379594,0.49841537368948,-1.0190439704350556,0.38081307108537016,-0.6112070531514611
8,8.0,9.0,0.01172058,0.07822916666666667,2129.577768584611,2.9562135493583158e-06,-160.59055198080077,156.0228288931699,-67.65064147436067,-26.63146067218613,47.57539807382901,40.6102691104269,-9.364450411817234,-48.972526998962685,-9.768078368117795,18.16342109079431,-12.151454805338622,-21.675985389715326,-21.45475562103882,-14.887727381557589,2.4590644499381096,-5.2098250580048795,-1.3411747046612879,2.4529700741251945,-21.771413382441043,-6.758815415551412,-36.639940395994515,-19.994583975694976,19.056094508064238,12.176960238051166,-2.392900157871626,1.5150608125267582,4.6444312506197445,5.737538359187102,8.325916796884188,4.49103935537944,3.4140187599782617,10.120829734814388,8.35078327992193,-0.29384864372000624,1.2606746937405102,7.368061690950652,4.640627461747265,-0.6129340426138981,0.6047092355678313,2.905034320604961,-0.5801019878758827,-0.9838525406922257,0.1118708327901385,1.1260899444611672,-2.971948961166288,-5.731749130819316,1.3640247266864376,6.102588905955381,1.0098124569890041,-0.8507905095803397,1.916233647082574,1.0730641190134647,-1.0315953363183916,-1.4899524025402076,-0.30023527811838263,0.2589336275416856,-2.02998954325821,-0.9098372611229687,2.6782583026019537,-0.29717190112126146
9,9.0,10.0,0.0016126313,0.05433333333333333,1650.1261580869157,2.6027139498043603e-05,-293.9765494011491,108.95731343623966,30.110627278436382,18.7211160761764,23.666259942051028,-4.746569716413783,-15.836712559906378,11.980441573052158,22.334352359864084,0.30944389489269275,-3.126446430393707,23.239603086481463,30.292342002865603,3.5179393135381414,-8.628907841117352,12.690470258220424,19.852079131267605,-3.68609952555172,-8.485083807793941,14.235229602193137,7.996876310612792,5.440060826614322,0.6984122872883756,5.266983235334358,0.41097745535093755,-9.405729236738226,4.197492404572725,20.25479715072924,9.459118357552503,-0.3483461530489658,6.1175366565362275,7.422032404327286,1.3896984303404698,-2.4974075000890874,-0.9434015261387332,3.2056793830677517,0.573781317184713,-2.2910191874065373,1.8818566787406654,-0.13849506487697127,17.362735475121113,7.28491106929575,-9.614406239013517,-3.1946543214360594,-1.1085536140214842,-3.5346503576414405,0.9493768205145471,0.35072748889082783,-2.4954721003688602,0.5656750763090875,0.4945392986372434,-3.497238995460378,-4.386774378865431,-2.359583149406927,-0.5114216647156304,-1.9652321484165018,-3.1164312573773256,0.6944854243926089,1.9858758914039918,-2.302320975971137
